jobid,fold,variant,epoch,batch,total_batches,loss,filename
err_12191775,1,classical,3,42,52,0.0102,err_12191775_1.err
err_12191775,1,classical,3,42,52,0.013,err_12191775_1.err
err_12191775,1,classical,3,48,52,0.013,err_12191775_1.err
err_12191775,1,classical,3,48,52,0.0153,err_12191775_1.err
err_12191775,1,classical,3,48,52,0.011,err_12191775_1.err
err_12191775,1,classical,3,48,52,0.0101,err_12191775_1.err
err_12191775,1,classical,3,48,52,0.0191,err_12191775_1.err
err_12191775,1,classical,4,0,52,0.0171,err_12191775_1.err
err_12191775,1,classical,4,0,52,0.0172,err_12191775_1.err
err_12191775,1,classical,4,0,52,0.0164,err_12191775_1.err
err_12191775,1,classical,4,0,52,0.0188,err_12191775_1.err
err_12191775,1,classical,4,0,52,0.0165,err_12191775_1.err
err_12191775,1,classical,4,0,52,0.017,err_12191775_1.err
err_12191775,1,classical,4,6,52,0.017,err_12191775_1.err
err_12191775,1,classical,4,6,52,0.0152,err_12191775_1.err
err_12191775,1,classical,4,6,52,0.0153,err_12191775_1.err
err_12191775,1,classical,4,6,52,0.0144,err_12191775_1.err
err_12191775,1,classical,4,6,52,0.0141,err_12191775_1.err
err_12191775,1,classical,4,6,52,0.0108,err_12191775_1.err
err_12191775,1,classical,4,6,52,0.0134,err_12191775_1.err
err_12191775,1,classical,4,12,52,0.0134,err_12191775_1.err
err_12191775,1,classical,4,12,52,0.00929,err_12191775_1.err
err_12191775,1,classical,4,12,52,0.0105,err_12191775_1.err
err_12191775,1,classical,4,12,52,0.0118,err_12191775_1.err
err_12191775,1,classical,4,12,52,0.0145,err_12191775_1.err
err_12191775,1,classical,4,12,52,0.0096,err_12191775_1.err
err_12191775,1,classical,4,12,52,0.013,err_12191775_1.err
err_12191775,1,classical,4,18,52,0.013,err_12191775_1.err
err_12191775,1,classical,4,18,52,0.00945,err_12191775_1.err
err_12191775,1,classical,4,18,52,0.00746,err_12191775_1.err
err_12191775,1,classical,4,18,52,0.00847,err_12191775_1.err
err_12191775,1,classical,4,18,52,0.00874,err_12191775_1.err
err_12191775,1,classical,4,18,52,0.0123,err_12191775_1.err
err_12191775,1,classical,4,18,52,0.0182,err_12191775_1.err
err_12191775,1,classical,4,24,52,0.0182,err_12191775_1.err
err_12191775,1,classical,4,24,52,0.0133,err_12191775_1.err
err_12191775,1,classical,4,24,52,0.0148,err_12191775_1.err
err_12191775,1,classical,4,24,52,0.0169,err_12191775_1.err
err_12191775,1,classical,4,24,52,0.0138,err_12191775_1.err
err_12191775,1,classical,4,24,52,0.016,err_12191775_1.err
err_12191775,1,classical,4,24,52,0.0165,err_12191775_1.err
err_12191775,1,classical,4,30,52,0.0165,err_12191775_1.err
err_12191775,1,classical,4,30,52,0.0168,err_12191775_1.err
err_12191775,1,classical,4,30,52,0.018,err_12191775_1.err
err_12191775,1,classical,4,30,52,0.0176,err_12191775_1.err
err_12191775,1,classical,4,30,52,0.0235,err_12191775_1.err
err_12191775,1,classical,4,30,52,0.0125,err_12191775_1.err
err_12191775,1,classical,4,30,52,0.0125,err_12191775_1.err
err_12191775,1,classical,4,36,52,0.0125,err_12191775_1.err
err_12191775,1,classical,4,36,52,0.0159,err_12191775_1.err
err_12191775,1,classical,4,36,52,0.0161,err_12191775_1.err
err_12191775,1,classical,4,36,52,0.0139,err_12191775_1.err
err_12191775,1,classical,4,36,52,0.0151,err_12191775_1.err
err_12191775,1,classical,4,36,52,0.0135,err_12191775_1.err
err_12191775,1,classical,4,36,52,0.0141,err_12191775_1.err
err_12191775,1,classical,4,42,52,0.0141,err_12191775_1.err
err_12191775,1,classical,4,42,52,0.0137,err_12191775_1.err
err_12191775,1,classical,4,42,52,0.0158,err_12191775_1.err
err_12191775,1,classical,4,42,52,0.00961,err_12191775_1.err
err_12191775,1,classical,4,42,52,0.0133,err_12191775_1.err
err_12191775,1,classical,4,42,52,0.00979,err_12191775_1.err
err_12191775,1,classical,4,42,52,0.0122,err_12191775_1.err
err_12191775,1,classical,4,48,52,0.0122,err_12191775_1.err
err_12191775,1,classical,4,48,52,0.0151,err_12191775_1.err
err_12191775,1,classical,4,48,52,0.00897,err_12191775_1.err
err_12191775,1,classical,4,48,52,0.0106,err_12191775_1.err
err_12191775,1,classical,4,48,52,0.00836,err_12191775_1.err
err_12191775,1,classical,5,0,52,0.0234,err_12191775_1.err
err_12191775,1,classical,5,0,52,0.0228,err_12191775_1.err
err_12191775,1,classical,5,0,52,0.0189,err_12191775_1.err
err_12191775,1,classical,5,0,52,0.0156,err_12191775_1.err
err_12191775,1,classical,5,0,52,0.0153,err_12191775_1.err
err_12191775,1,classical,5,0,52,0.0156,err_12191775_1.err
err_12191775,1,classical,5,6,52,0.0156,err_12191775_1.err
err_12191775,1,classical,5,6,52,0.0145,err_12191775_1.err
err_12191775,1,classical,5,6,52,0.0139,err_12191775_1.err
err_12191775,1,classical,5,6,52,0.016,err_12191775_1.err
err_12191775,1,classical,5,6,52,0.0168,err_12191775_1.err
err_12191775,1,classical,5,6,52,0.0134,err_12191775_1.err
err_12191775,1,classical,5,6,52,0.0138,err_12191775_1.err
err_12191775,1,classical,5,12,52,0.0138,err_12191775_1.err
err_12191775,1,classical,5,12,52,0.0084,err_12191775_1.err
err_12191775,1,classical,5,12,52,0.0105,err_12191775_1.err
err_12191775,1,classical,5,12,52,0.0105,err_12191775_1.err
err_12191775,1,classical,5,12,52,0.0134,err_12191775_1.err
err_12191775,1,classical,5,12,52,0.00862,err_12191775_1.err
err_12191775,1,classical,5,12,52,0.0112,err_12191775_1.err
err_12191775,1,classical,5,18,52,0.0112,err_12191775_1.err
err_12191775,1,classical,5,18,52,0.0086,err_12191775_1.err
err_12191775,1,classical,5,18,52,0.00665,err_12191775_1.err
err_12191775,1,classical,5,18,52,0.00675,err_12191775_1.err
err_12191775,1,classical,5,18,52,0.00815,err_12191775_1.err
err_12191775,1,classical,5,18,52,0.012,err_12191775_1.err
