,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,Week,Month,nat,Year,euro per kWh,euro per m3,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,WeekKey,Beroepsbevolking|Seizoengecorrigeerd,"Crude oil, Brent | ($/bbl)",Werkzame beroepsbevolking|Seizoengecorrigeerd,Werkloze beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI | %,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product
Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,-0.009844821568545659,-0.01884166953228137,0.04388583929363007,-0.06477120442020544,0.5519443003715515,0.4916456180413706,-0.040666461911692764,0.5644087562445924,0.028081497029188055,0.05638611735266879,-0.12078399006596764,0.6943754014386071,0.5925763689632645,0.6811854251182344,0.5596182935563481,0.8741654072378954,0.8136973462082286,0.8938488858996094,0.9593854831167005,-0.9270395819268054,1.0,0.9947003665269055,-0.46936997656129176,-0.17289366921961435,-0.7406790688682051,0.831795234054829,-0.21790713637174122,0.962341011577583,0.9578657479274313,0.8240659491842918,0.8806138407640136,,
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,-0.002259865218061269,-0.020735683672174047,0.044239730181140906,-0.06055808961989621,0.6017757157941782,0.5429891295624935,-0.037495070670645336,0.6093059685741197,0.056960460954264054,0.08642035107518087,-0.10435907294032372,0.6641032616786213,0.6292381561645827,0.7141366230746982,0.5823217452590678,0.8499182618313152,0.8283741235239915,0.8669483075778712,0.9566409733866619,-0.9062821337794525,0.9947003665269055,1.0,-0.477171941065452,-0.1595108420962722,-0.7355912481215388,0.8303688397311371,-0.22811135941252403,0.9462433566412473,0.9428423372976871,0.7841265766270589,0.847397432496435,,
Aantal verkochte woningen|Aantal verkochte woningen,0.03381539388922331,0.007833266298576298,-0.03632049035693704,0.04259998120517773,-0.5004012742872428,-0.4226629324915392,0.0333661935690418,-0.5280325208457631,-0.16891995814482066,-0.24601819190277088,0.10863632043620446,-0.26378877038267706,-0.32851126513674733,-0.3624254642178095,-0.12529322531103607,-0.4049681880035982,-0.4787756313606925,-0.5210084900300759,-0.5383710048433915,0.49400062407073864,-0.46936997656129176,-0.477171941065452,1.0,0.5538404874955686,0.7576261263872451,-0.24984669872053192,0.9471027449305612,-0.48069480284571753,-0.4814988714290843,-0.32400802303990955,-0.3807630786629782,,
Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,0.009377531902430127,-0.0018250870505933656,-0.031073757834920782,0.006860145291941726,-0.011435392691841765,0.00013479520643214457,0.010195653975096494,-0.030924429074497394,0.19983884562208754,0.2042925304096019,-0.13458542100765433,-0.24967088792113074,0.027114212455486682,-0.004160406712415825,-0.18478207281615355,-0.21763664744901826,-0.12081055899446551,-0.09612126349100575,-0.14598615006684437,0.14687018693985676,-0.17289366921961435,-0.1595108420962722,0.5538404874955686,1.0,0.5117061194450314,0.0713663204663056,0.5186365850412549,-0.18013354547539612,-0.1754202666160237,-0.20487044130068172,-0.20812555985927628,,
Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,-0.11877110862045338,-0.05648289467762987,-0.11399959689733333,0.024850704181290068,-0.5543125641303281,-0.5121492599281512,0.009651088868906775,-0.549485363692608,-0.3193273601274314,-0.36363538393220557,-0.08109256448687306,-0.3155549615750572,-0.6230973972362349,-0.6642282251540085,-0.20713731622908124,-0.5384395104768619,-0.6789258428752828,-0.6432250017671983,-0.7582608401820272,0.6933962601141667,-0.7406790688682051,-0.7355912481215388,0.7576261263872451,0.5117061194450314,1.0,-0.34514707057827176,0.6631223043397585,-0.7282603255093935,-0.734326796655622,-0.4881193666295896,-0.5898855523503861,,
Gemiddelde verkoopprijs,-0.09720676841220588,-0.06835643831006519,-0.02283000010382547,-0.07181793022458961,0.3825021327055137,0.32466040060594736,-0.0724740556329241,0.4107847929455444,-0.20248096437141835,-0.17967389226164251,-0.22168031647162179,0.7331059362716797,0.4419754959236251,0.5350790063250335,0.6092106463326779,0.816024025043405,0.6497664612003323,0.7951164363116863,0.7842977156344084,-0.7734804833968039,0.831795234054829,0.8303688397311371,-0.24984669872053192,0.0713663204663056,-0.34514707057827176,1.0,0.05452514615531695,0.7976460544683596,0.7866162936703164,0.7137275685996514,0.7273090853579566,,
Totale waarde verkoopprijzen,-0.012352834248328344,-0.016293584421612172,-0.046324770158938856,0.024984295390241915,-0.4088298849765572,-0.3496795766508305,0.009674903684095728,-0.42593919866133184,-0.3020985942519216,-0.380529351859132,0.038002745338253555,0.002485938102846271,-0.24899920924022287,-0.24929447414522798,0.12300229044467091,-0.13603941369959074,-0.31434735852425144,-0.2889485836393034,-0.31918791423769133,0.2587185414590164,-0.21790713637174122,-0.22811135941252403,0.9471027449305612,0.5186365850412549,0.6631223043397585,0.05452514615531695,1.0,-0.24797074573233044,-0.25420754794539335,-0.09489798212935203,-0.15351278526018783,,
CPI | 2015 = 100,0.01143774154804034,0.0043391717496274705,0.06565848894214127,-0.046060247991245674,0.47107095674865096,0.4195718539646588,-0.03684600371364042,0.4856728497076812,0.07059210749828847,0.1032103062007978,-0.10566821805276204,0.6388043651893891,0.5842711939613101,0.6658842579677929,0.4670683580131012,0.8248177177877564,0.8103399429153303,0.8762271759962812,0.9349962076983964,-0.8847640061456029,0.962341011577583,0.9462433566412473,-0.48069480284571753,-0.18013354547539612,-0.7282603255093935,0.7976460544683596,-0.24797074573233044,1.0,0.9993232321052006,0.8818604629717925,0.9185918006022267,,
CPI afgeleid | 2015 = 100,0.02843537422490334,0.008224882367756559,0.06962021332474445,-0.04264989624687288,0.47412707500185536,0.42595809916775124,-0.03344051665752053,0.48637965635329605,0.10309757936438572,0.13623693757635938,-0.0826785024118518,0.6103096748239843,0.6056736440647714,0.6837620207382231,0.44600094082277014,0.8044452242875885,0.8224039535859232,0.8623007229831128,0.9348416823267459,-0.8714463763800866,0.9578657479274313,0.9428423372976871,-0.4814988714290843,-0.1754202666160237,-0.734326796655622,0.7866162936703164,-0.25420754794539335,0.9993232321052006,1.0,0.8766922553156293,0.9160859382529062,,
Jaarmutatie CPI | %,-0.0331551297528843,-0.02849497952951201,0.016129290924598357,-0.043113940108126504,0.16642815378301334,0.12393541335081686,-0.02642203741036878,0.2014469397026392,-0.11908629542553509,-0.10555660938469194,-0.11985022033553679,0.6726936138210734,0.28033762374624227,0.36546343835223344,0.41889788872619355,0.7794996559361597,0.6626088300968802,0.7651921944947397,0.7810107901835595,-0.7552925821579115,0.8240659491842918,0.7841265766270589,-0.32400802303990955,-0.20487044130068172,-0.4881193666295896,0.7137275685996514,-0.09489798212935203,0.8818604629717925,0.8766922553156293,1.0,0.9731125352133397,,
