,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Diensten,Month,Week,euro per kWh.2,Year,euro per m3,euro per m3.2,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid,Beroepsbevolking|Seizoengecorrigeerd,Werkzame beroepsbevolking|Seizoengecorrigeerd,Werkloze beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI | %,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal
Week,0.2675109492750507,-0.06054006166244088,-0.0404969041804556,-0.013598492021396543,0.15648392806575087,0.1721694345566464,0.033271660353288914,0.1366262571570199,-0.8509242311148449,0.9810388948438707,1.0,0.8102086627076351,-0.8184183919917826,0.8307380466375406,-0.8185731173521882,-0.8661313943160304,-0.7350126068431229,0.9179243918086982,-0.4811711176917462,-0.435188328322115,0.3917052309945649,-0.5280246952270381,-0.505097342447039,-0.43815655922438335,-0.18400360530663037,0.2322128465906414,-0.13475220763243922,-0.6219257281769942,-0.3863529294388582,-0.5387433112763342,-0.5186945253742018,-0.5991119254038455,-0.5898678983837037,-0.43538376790653455
euro per kWh.2,0.26291335082048894,-0.0082283778961378,0.007921411971730444,-0.02298888203095601,0.15383092475092203,0.19733738474508297,0.012031937794281215,0.12421315534223558,-0.9863837903091576,0.815914786938016,0.8102086627076351,1.0,-0.9918004726953327,0.8459615540692907,-0.9594364253716128,-0.9588140127216717,-0.8739739111573662,0.734728811726619,-0.8769988951029599,-0.8558925759064694,0.8195796575030179,-0.8940472639506145,-0.2901743097188509,-0.8173663977479171,-0.15093334366464503,0.1440829882783623,-0.03607684074895973,-0.8682732575188462,-0.2883021620693964,-0.8210053257255773,-0.813624216142353,-0.8251955219056039,-0.8362459145570834,-0.5693544696735043
Year,-0.2585215225718686,-0.011651941924633995,-0.031510561894355554,0.010649152935186472,-0.18684609755602039,-0.23018236852501908,-0.010788798011831868,-0.1541563655784706,0.9926069674705303,-0.8247765840408051,-0.8184183919917826,-0.9918004726953327,1.0,-0.8737582990455149,0.9873170136413404,0.9591774635213695,0.9188045217173423,-0.7671350465463229,0.8709147717394601,0.8603212431815075,-0.8312590882828591,0.9000588813370436,0.2925396576170249,0.840172099224388,0.1698492152230869,-0.1360987820494778,0.07278106957392746,0.8767552315553363,0.30509480135092787,0.8175643383013314,0.8085942348460311,0.8428765309844871,0.8481422783770811,0.6332789369040216
euro per m3,0.2570470919336286,0.0030615400109711304,0.020926358946274176,-0.014853442466434713,0.23386674550335187,0.2546508083362246,0.02670121421039203,0.2073657324369769,-0.8741795775588651,0.8476217296162464,0.8307380466375406,0.8459615540692907,-0.8737582990455149,1.0,-0.9038049846237693,-0.8399033543772678,-0.8045776944380707,0.8337199637679359,-0.5993395356510305,-0.6120554389444506,0.6048865882237268,-0.6622777279000736,-0.25889835527109467,-0.6640671577265788,-0.1549829990835861,0.049201282031573236,-0.22620649462503062,-0.6685877588366781,-0.2936849564383646,-0.565354835957011,-0.5492234554353352,-0.7229741068618595,-0.7138826275165653,-0.3498661410028472
euro per m3.2,-0.25037343589615185,-0.033010693251404384,-0.05660917694567996,-0.002911867954156869,-0.224979862058952,-0.2658714351894003,-0.010491857613617267,-0.18973751135350742,0.9784098986642646,-0.8263876774635701,-0.8185731173521882,-0.9594364253716128,0.9873170136413404,-0.9038049846237693,1.0,0.9387902249006412,0.9488579131474012,-0.7990417340067677,0.8327389418350024,0.8357784049004419,-0.816829129450327,0.877601433689749,0.28904435835466996,0.8418883787360737,0.1877305298194041,-0.11888571446750873,0.12456814383562094,0.8596042265258437,0.31923183888959966,0.7844669501994878,0.7732857695242801,0.8431559463904895,0.8408096326426843,0.6751140241335079
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Totaal,-0.2449149544694263,0.026274615529240028,-0.00013331310282852087,0.04216866087083194,-0.29915396953259343,-0.3181111429704689,-0.025621583900190124,-0.2728571720580099,0.9489682901012955,-0.8769768988643186,-0.8661313943160304,-0.9588140127216717,0.9591774635213695,-0.8399033543772678,0.9387902249006412,1.0,0.811610308598391,-0.8570209076655398,0.7728848011568895,0.7599903487723523,-0.7327413411876599,0.8058480054089585,0.378687353854007,0.726226349637508,0.25760459013929693,-0.1069116746843182,0.15811074573793443,0.7994542921768746,0.4002668200798483,0.6899945798750666,0.6782593868303443,0.838332105430951,0.84320986119992,0.5872810660427005
Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product,-0.24152781824841013,-0.07434341614550219,-0.09146074289383797,-0.04718601900070933,-0.05610547334754809,-0.12000782557842495,0.002314876359027603,-0.01603692073044465,0.928195804283392,-0.7368985097716345,-0.7350126068431229,-0.8739739111573662,0.9188045217173423,-0.8045776944380707,0.9488579131474012,0.811610308598391,1.0,-0.6999494996305217,0.8087797428577943,0.8066100956274185,-0.7828453346645002,0.8571687779026198,0.28440626347570513,0.8405941028429444,0.13269529081718892,-0.14358210094440296,0.08658639504093583,0.8735729033130454,0.2401422005779136,0.8220847594874777,0.8121041911825334,0.7230835485910668,0.7129662118960868,0.7820443079935977
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid,0.2358548453009951,-0.03382240385030162,-0.006847964655569817,-0.030635166379844325,0.2760677154235052,0.27401068485127444,0.04716781108326125,0.25552483937397413,-0.7897743287067294,0.9375360569929848,0.9179243918086982,0.734728811726619,-0.7671350465463229,0.8337199637679359,-0.7990417340067677,-0.8570209076655398,-0.6999494996305217,1.0,-0.4011451922229562,-0.39495869940463424,0.37932832480035694,-0.48103698480024,-0.5259719286457615,-0.448404460001857,-0.3235911727575264,0.030424673119743995,-0.3965142494626039,-0.5881636165323944,-0.45858582494910316,-0.3816465924035942,-0.3592981611391536,-0.6096256428266801,-0.5883698040562886,-0.4785008409999406
Beroepsbevolking|Seizoengecorrigeerd,-0.18273133735411964,-0.048397356267993547,-0.059235415726607524,-0.024253306723359406,-0.08007567985351847,-0.14396230059632806,0.01094527373203516,-0.04505844858520633,0.8402380208384534,-0.47677994099608556,-0.4811711176917462,-0.8769988951029599,0.8709147717394601,-0.5993395356510305,0.8327389418350024,0.7728848011568895,0.8087797428577943,-0.4011451922229562,1.0,0.9795682919423445,-0.9407865830474338,0.9833619207522877,0.16641626058153489,0.9163173193564511,0.18191393860680588,-0.08418850528159207,-0.05479296777226408,0.9014714856112647,0.23542643605889074,0.8597768095239441,0.8653057095285464,0.7396188452813354,0.7644171118619891,0.6536304486530413
Werkzame beroepsbevolking|Seizoengecorrigeerd,-0.16260007688795675,-0.0750151677487643,-0.0898906909463689,-0.019830480150809012,-0.16333069841619458,-0.22211534326128254,0.00897897474402443,-0.12486611811774749,0.8190989153268081,-0.42958389069944625,-0.435188328322115,-0.8558925759064694,0.8603212431815075,-0.6120554389444506,0.8357784049004419,0.7599903487723523,0.8066100956274185,-0.39495869940463424,0.9795682919423445,1.0,-0.9896719719159971,0.9817573577746807,0.047242546805678146,0.9573144939550081,0.1511542509755496,-0.04443898437985449,-0.015167224975009134,0.8712961401760194,0.1837096209063073,0.8443558448943967,0.8491022030651666,0.806015001550254,0.8256992838418534,0.664056673589964
Werkloze beroepsbevolking|Seizoengecorrigeerd,0.14334807733014276,0.09180157398462382,0.10952358747430863,0.01597181159361317,0.22419892608206363,0.27742536536059464,-0.007891628638825064,0.18427814690744804,-0.782558432167616,0.3853857463597284,0.3917052309945649,0.8195796575030179,-0.8312590882828591,0.6048865882237268,-0.816829129450327,-0.7327413411876599,-0.7828453346645002,0.37932832480035694,-0.9407865830474338,-0.9896719719159971,1.0,-0.9551397511224017,0.04274842797436131,-0.960788598407985,-0.12268888193121356,0.01937065496994962,-0.006899605263346476,-0.8243567478494693,-0.14145094111815099,-0.814604753406116,-0.8186265330157327,-0.8354989486763826,-0.8513355837488147,-0.654715344557969
Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,-0.18114569262854022,-0.06229254961230543,-0.0787211274858363,-0.029200128044352194,-0.13650247498351917,-0.19651987954761016,0.0026620871180346264,-0.0975752350589311,0.8720940873226712,-0.5275722096407897,-0.5280246952270381,-0.8940472639506145,0.9000588813370436,-0.6622777279000736,0.877601433689749,0.8058480054089585,0.8571687779026198,-0.48103698480024,0.9833619207522877,0.9817573577746807,-0.9551397511224017,1.0,0.20960286217246643,0.9547968161424107,0.246126733448606,-0.09245091440186974,0.05128121327365309,0.9367309321877342,0.30964111244147197,0.8314875191149977,0.8339939749124219,0.7960528078456562,0.8120414779178449,0.6917624149948688
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,-0.09798216768248157,0.06769150474844672,0.05450504125118483,-0.03334677696002077,-0.024788699713235763,-0.027895783004157737,-0.026837042719951697,-0.017848961004495702,0.3419247693819376,-0.5298093487767339,-0.505097342447039,-0.2901743097188509,0.2925396576170249,-0.25889835527109467,0.28904435835466996,0.378687353854007,0.28440626347570513,-0.5259719286457615,0.16641626058153489,0.047242546805678146,0.04274842797436131,0.20960286217246643,1.0,0.11419527091454082,0.7256398845776546,0.01391015416113806,0.4121511431343578,0.39533903019014494,0.7918126495797994,0.039979712764767514,0.031096006525756177,0.06631346783114553,0.053487177293377416,0.2687999984273755
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,-0.16792162319721454,-0.09169005028541953,-0.10936080810864413,-0.03334387040242741,-0.1539752957193666,-0.2141041054387139,-0.0004055099702568925,-0.11385173504091126,0.8097393791506706,-0.43605075560465817,-0.43815655922438335,-0.8173663977479171,0.840172099224388,-0.6640671577265788,0.8418883787360737,0.726226349637508,0.8405941028429444,-0.448404460001857,0.9163173193564511,0.9573144939550081,-0.960788598407985,0.9547968161424107,0.11419527091454082,1.0,0.2462418446360605,0.06956981681089583,0.16992629071688056,0.8685143637738179,0.24178181490623754,0.7914656370147923,0.7931167416098965,0.7941557174095739,0.7975365125875941,0.6654273464989201
Aantal verkochte woningen|Aantal verkochte woningen,0.020098433225671116,-0.040128092064182753,-0.05427225721915332,-0.06983122099817676,-0.3209709174949621,-0.28079941578435946,-0.022288505062321304,-0.3210451717595499,0.16087270166003698,-0.2109542960868168,-0.18400360530663037,-0.15093334366464503,0.1698492152230869,-0.1549829990835861,0.1877305298194041,0.25760459013929693,0.13269529081718892,-0.3235911727575264,0.18191393860680588,0.1511542509755496,-0.12268888193121356,0.246126733448606,0.7256398845776546,0.2462418446360605,1.0,0.24432563234810542,0.4029923630316489,0.3126449549792341,0.9285047584139701,-0.10552654356012521,-0.10603936424809397,0.23417724603951307,0.2115983302328642,0.22195549159674602
Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,0.0011990492407055334,-0.014658701746755013,0.002431265128972179,0.05185591998365078,0.03500302128073626,0.05353266073271917,-0.018149464509199534,0.01722923365869904,-0.1424413926805294,0.2390975525393913,0.2322128465906414,0.1440829882783623,-0.1360987820494778,0.049201282031573236,-0.11888571446750873,-0.1069116746843182,-0.14358210094440296,0.030424673119743995,-0.08418850528159207,-0.04443898437985449,0.01937065496994962,-0.09245091440186974,0.01391015416113806,0.06956981681089583,0.24432563234810542,1.0,0.47190316024698264,-0.15761584266414397,-0.07282483081362615,-0.2435398478007303,-0.2437765919625585,-0.1130579845345419,-0.1479115879128179,-0.13096203426337327
