,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,Werkzame beroepsbevolking|Seizoengecorrigeerd,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Huishoudens,euro per kWh.1,euro per m3.1,euro per m3,euro per kWh.2,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Week,Jaarmutatie CPI | %,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Diensten,Beroepsbevolking|Seizoengecorrigeerd,Werkloze beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product
euro per kWh.2,0.21880883750249117,0.12461841160793352,0.1692396257239009,0.08303047956281398,0.17631492473915056,0.22923896504693927,0.07136480791669714,0.12472144580621117,0.705096656872679,0.8598397546729603,-0.9783195917051409,0.969381999465984,0.916356990047842,1.0,-0.45395733929470866,0.6538081166191224,0.9121730758949679,0.995235307726366,0.33502977527212935,-0.6538016880926585,-0.44464344178130566,-0.09851251279970184,0.807200451319722,-0.01156339060681512,-0.00524066111879731,0.3072329555634505,-0.02966031263658573,0.39572657282717966,0.39715620769855425,0.8862569656008396,0.20692661532411905,0.6527333991205944
Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,-0.2087340664772354,-0.048165427369364,-0.0312662622963372,-0.04337088464074823,0.14453668128039907,0.11185746978049135,-0.08481179918225498,0.16801533791607529,-0.6641984771548243,-0.44797707976341056,0.48328077957984805,-0.4864961513070376,-0.4917005775225362,-0.45395733929470866,1.0,-0.3954797000594664,-0.42910221120253716,-0.4230602691809923,-0.6820038010512038,0.2815835952851289,0.2914486526516195,0.2939393500289893,-0.23303713469412113,-0.13355693597888657,0.044442874446593755,-0.12586123406747213,-0.12693562018187188,0.04488143561712747,0.03608279665504836,-0.3963144765153084,-0.022729003451452543,-0.2571654996734049
Week,0.2085803037595444,0.02199972008719701,0.04709356157135876,-0.010331205868128863,0.15675124575505742,0.1603849556088066,0.02879157516832474,0.13349401109233172,0.6977423637248585,0.8223307715609403,-0.7479355070741823,0.762202759368536,0.808488733239214,0.6538081166191224,-0.3954797000594664,1.0,0.48354220882881666,0.6038885257407101,0.5485688004774922,-0.4476137115467305,-0.19863462094174378,0.08784399242361528,0.7420346888168137,-0.4318119841320651,0.3246339108125013,0.04261775231646027,-0.46292360610198435,0.24327634025816833,0.26930624983195967,0.4187525687740376,0.33414084419914847,0.5748489348266937
Jaarmutatie CPI | %,0.2065038327722609,0.10242278602480998,0.12994000205625666,0.098615765143512,-0.0443493906682278,0.006109539808602251,0.07837990093440815,-0.08709288546393576,0.7097782360762777,0.7729006210414242,-0.8323332647132451,0.8130273909506401,0.7197628906657341,0.9121730758949679,-0.42910221120253716,0.48354220882881666,1.0,0.9175867844995949,0.19743763663553113,-0.7980653850154055,-0.641714891710921,-0.27484987050373205,0.6806741049786502,0.2675422433962307,-0.04663144856466788,0.2126408448702875,0.2370916770562322,0.5582546306050754,0.553854695406018,0.9913843914832122,0.26214444852955304,0.6791498324502346
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Diensten,0.20583781886314712,0.12599665058740758,0.17343188575641372,0.07975661800019115,0.2115188354548682,0.2618334892995964,0.06698946107841454,0.16033280604677883,0.671377769940655,0.8346311095039513,-0.96096015474973,0.949707237545339,0.8874432926501458,0.995235307726366,-0.4230602691809923,0.6038885257407101,0.9175867844995949,1.0,0.29439893412881507,-0.6438533169168602,-0.4350027123675791,-0.10916797102602104,0.8116969774439085,0.020695852389675425,-0.055343675092375914,0.3591895365290495,0.004869528590169368,0.4155982036031227,0.4131569622286996,0.8944274637094518,0.22508183728386216,0.6589880318183475
Beroepsbevolking|Seizoengecorrigeerd,0.1554762600679591,0.027108971881739236,0.035112657923419305,0.007015318146374858,0.0517385495271805,0.061272449277859645,0.08760527186864503,0.027249175378346244,0.7038287761743173,0.4842614803445303,-0.43831314095693313,0.4558463298512782,0.5207134281085658,0.33502977527212935,-0.6820038010512038,0.5485688004774922,0.19743763663553113,0.29439893412881507,1.0,-0.022919059265602608,0.049979055715202565,0.027898119972654466,0.3969559680317482,-0.06490671608755517,-0.0604854133092837,0.045321592069911314,-0.08398904682922377,-0.269617520106799,-0.2556994644907877,0.14217842315020587,0.17802726645938233,0.2840680024329228
Werkloze beroepsbevolking|Seizoengecorrigeerd,-0.19426985353075918,-0.06284553647603516,-0.046598129352219575,-0.04787967124757212,0.24659933124549666,0.20607697780595474,-0.015975564627610864,0.27283001740322477,-0.7257146224277738,-0.7289727381320117,0.5571924265480013,-0.536041673747235,-0.4397553226063632,-0.6538016880926585,0.2815835952851289,-0.4476137115467305,-0.7980653850154055,-0.6438533169168602,-0.022919059265602608,1.0,0.8255530754148711,0.37113741847190507,-0.5285233485855739,-0.13873669325697688,-0.03304736349505917,0.1328264951602101,-0.12099952444294954,-0.7632808037131293,-0.7652772314158433,-0.799246347627947,-0.49981213448601053,-0.7753830765448253
Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,-0.14614962625172312,-0.027354680473706948,0.009319458988918844,-0.08103879697840519,0.445814446398107,0.38117805218701406,-0.01609194713100019,0.47813317593271415,-0.5529643697555132,-0.4195243127892729,0.3163255015407412,-0.29031407064288084,-0.1780270459446149,-0.44464344178130566,0.2914486526516195,-0.19863462094174378,-0.641714891710921,-0.4350027123675791,0.049979055715202565,0.8255530754148711,1.0,0.6707191245175882,-0.21772158243722475,-0.4638373019389555,-0.012417091292948719,0.3053201131828993,-0.4466727469527346,-0.5386786045477236,-0.5326243198395305,-0.6433561635662318,-0.20824217231333877,-0.4736114346270951
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,-0.10299475181659186,-0.03672989098515718,0.01405422365960352,-0.05591125092862688,0.3691786931014712,0.30869081072711907,-0.023652304395810203,0.3980909617099223,-0.2529178555919178,-0.005743937661198873,-0.0035243595519963396,0.022955533317004746,0.10285360201143334,-0.09851251279970184,0.2939393500289893,0.08784399242361528,-0.27484987050373205,-0.10916797102602104,0.027898119972654466,0.37113741847190507,0.6707191245175882,1.0,0.04098472224447929,-0.6085667043377834,0.47393289743607303,0.10613942912777298,-0.627453391347779,-0.3316813249686251,-0.32142406661840056,-0.24693168087862352,0.011321241953134303,-0.0926481251670976
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,0.15950883648451467,0.062116405067699665,0.11515521386428346,-0.03320204889828406,0.4712306954310925,0.4654676964924679,-0.004543125683384232,0.44110514412531165,0.6623601092768019,0.8969890526683187,-0.8235071887292236,0.8225704403415673,0.8050389435339981,0.807200451319722,-0.23303713469412113,0.7420346888168137,0.6806741049786502,0.8116969774439085,0.3969559680317482,-0.5285233485855739,-0.21772158243722475,0.04098472224447929,1.0,-0.24224509591930649,-0.003091183516822815,0.44807553007210643,-0.26705554859070696,0.49625315181228774,0.49985109059097066,0.6242063168047506,0.6130620018152163,0.8348660749716992
Aantal verkochte woningen|Aantal verkochte woningen,0.021344488736783903,-0.00693640787104241,-0.026987066082634254,0.09078606356721645,-0.4242897596477086,-0.38381362817445425,0.09177458501057138,-0.43826678259931634,0.058760821995814325,-0.23431796800636173,0.15140266541343203,-0.1773127323103331,-0.28141457253500174,-0.01156339060681512,-0.13355693597888657,-0.4318119841320651,0.2675422433962307,0.020695852389675425,-0.06490671608755517,-0.13873669325697688,-0.4638373019389555,-0.6085667043377834,-0.24224509591930649,1.0,-0.5101302734747368,0.07064835138229277,0.9959051765456389,0.00716019122740895,-0.01902226502088309,0.31898568800251087,-0.18827945586234537,-0.10169990839230267
Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,-0.03843195337345603,-0.07442489645125248,-0.0666638212875183,0.012530071379948339,-0.10538007418337492,-0.1270886955208495,-0.06737718503423876,-0.08488978391387278,-0.03164787060526316,0.11639219591004599,-0.07561577324364177,0.09065580794564171,0.15128764180496318,-0.00524066111879731,0.044442874446593755,0.3246339108125013,-0.04663144856466788,-0.055343675092375914,-0.0604854133092837,-0.03304736349505917,-0.012417091292948719,0.47393289743607303,-0.003091183516822815,-0.5101302734747368,1.0,-0.41342555505782236,-0.5684289264774884,-0.11377811432338297,-0.09006378601915113,-0.061050568510943856,-0.09161826457518414,-0.054366239644359354
Gemiddelde verkoopprijs,0.02563086258445352,0.012460801242204275,0.06267614416631205,-0.09620611457169435,0.6343966361488313,0.5903844468813889,-0.015128732620322825,0.6366170598625385,-0.05065441326887836,0.18501366208717862,-0.3032283522833957,0.3009756858695428,0.28667022118113267,0.3072329555634505,-0.12586123406747213,0.04261775231646027,0.2126408448702875,0.3591895365290495,0.045321592069911314,0.1328264951602101,0.3053201131828993,0.10613942912777298,0.44807553007210643,0.07064835138229277,-0.41342555505782236,1.0,0.08529532218663964,0.13224591341144198,0.11833737948884569,0.21404639724203672,0.20212920111399058,0.22562354577842234
Totale waarde verkoopprijzen,0.020410345141345605,-0.00020609417399238293,-0.02276572936457434,0.08716084063503543,-0.41132828754710893,-0.3684374309539779,0.09090923759419224,-0.4262996311750103,0.033436278616538695,-0.26126327620397644,0.1717379492562908,-0.19797477190874113,-0.3030834361912198,-0.02966031263658573,-0.12693562018187188,-0.46292360610198435,0.2370916770562322,0.004869528590169368,-0.08398904682922377,-0.12099952444294954,-0.4466727469527346,-0.627453391347779,-0.26705554859070696,0.9959051765456389,-0.5684289264774884,0.08529532218663964,1.0,0.001874354707613018,-0.02524933565312355,0.29043379285692134,-0.201403208731723,-0.12218437183510956
CPI | 2015 = 100,0.09756729311289736,0.03003618110717826,0.01632442778841387,-0.07069453892754961,0.09682921020884068,0.08600824581358736,-0.05945628109286356,0.09336705182411235,0.35977870548054386,0.5391059784847689,-0.29654030121772723,0.27617861939862415,0.18746812839071458,0.39572657282717966,0.04488143561712747,0.24327634025816833,0.5582546306050754,0.4155982036031227,-0.269617520106799,-0.7632808037131293,-0.5386786045477236,-0.3316813249686251,0.49625315181228774,0.00716019122740895,-0.11377811432338297,0.13224591341144198,0.001874354707613018,1.0,0.9989665009205622,0.5327467944403255,0.6818044600734096,0.7513631959859198
CPI afgeleid | 2015 = 100,0.10265932524211378,0.029279667969707834,0.014562297216906469,-0.07204778909792142,0.09087999433066425,0.07976594230007465,-0.05988220223151954,0.08786852585924056,0.3701687319890873,0.5519336024450018,-0.3052222859735431,0.28620027662736275,0.20285816174150229,0.39715620769855425,0.03608279665504836,0.26930624983195967,0.553854695406018,0.4131569622286996,-0.2556994644907877,-0.7652772314158433,-0.5326243198395305,-0.32142406661840056,0.49985109059097066,-0.01902226502088309,-0.09006378601915113,0.11833737948884569,-0.02524933565312355,0.9989665009205622,1.0,0.526226608390935,0.6791273835285958,0.7507220356604597
