,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,euro per kWh.1,Natural gas index | (2010=100),"Natural gas, Europe | ($/mmbtu)",Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Goederen,euro per m3.2,Month,"Natural gas, US | ($/mmbtu)",euro per kWh.2,Week,Year,Beroepsbevolking|Seizoengecorrigeerd,Werkzame beroepsbevolking|Seizoengecorrigeerd,Werkloze beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI | %,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product
"Natural gas, Europe | ($/mmbtu)",0.46961614303335086,0.18651899402062758,0.15931026667054105,0.17668031522142838,-0.3765293435363847,-0.19717674959383896,0.05906851715164187,-0.42602620462800267,-0.8106481985066794,0.9697948418904465,1.0,0.682510644554021,-0.8059869466138763,0.6102265709145988,0.8421714790051565,-0.6102564954352772,0.586083510470353,-0.7912577884007789,0.5154843273750884,0.560854162769234,-0.26796360832462746,-0.5331601791619656,-0.05431309739025167,-0.47972924052671356,0.15466472013296148,0.0015629791914658847,0.12393401769905,-0.4620918171009389,0.07681627261808938,-0.3830307651449588,-0.40818086546806726,0.6747617793965457,0.31988797099221267,0.7137816872630685,0.6629553458521
Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Goederen,0.4692745386008181,0.10923991488167739,0.10920880926289987,0.08398492393678011,0.12874457353477975,0.2165753805381299,0.038777569237138966,0.07805873580490044,-0.8214507454598355,0.6817893830426283,0.682510644554021,1.0,-0.7799672622280956,0.905892823759418,0.721666213415882,-0.9804329136227694,0.8825925845983484,-0.7095822552173712,0.43946614272606627,0.020721220436479136,0.33808658513593004,-0.23479660164486174,-0.24098729220993811,-0.22139241981057897,0.015135524699521757,0.2504389148626924,-0.02131989044086254,-0.2307858530502384,-0.11996216646421581,0.23266448148498303,0.1924464220371074,0.543989253107051,0.03620285310531049,0.8080245788157308,0.8078089505625035
euro per m3.2,-0.4658367916009369,-0.1206239944965592,-0.09416970596193028,-0.0980273702839529,0.2353199688380345,0.11374388934166788,-0.04719240689428712,0.27020302640052335,0.9975189297095269,-0.8633173898576205,-0.8059869466138763,-0.7799672622280956,1.0,-0.7854273509944776,-0.8171361973000716,0.6700066712490759,-0.75584141662588,0.9942721194534494,-0.2554233211035395,-0.3266581745985012,0.1947227622349805,0.7569959458250287,0.38685275918257395,0.6921701659093394,0.07028011621034497,-0.134303580472516,-0.009065252730266675,0.7368401947733384,0.20729579449676314,0.3493501950281408,0.3849805151167898,-0.8976124281462422,-0.4384706724752701,-0.593503889736837,-0.5375051305209548
Month,0.4619452013167076,0.08788514142993013,0.0936702904127197,0.04171470028264923,0.15107337263458862,0.2056031279005252,0.015064285377583106,0.1223483972207853,-0.816427242004782,0.6055105103066891,0.6102265709145988,0.905892823759418,-0.7854273509944776,1.0,0.6258087944307543,-0.8736845524925005,0.967724852339831,-0.7309065168622385,0.22388321680672235,-0.14781872850861108,0.36647184052614096,-0.23022660715931068,-0.458948801775567,-0.1534424439330353,-0.15741271506621443,0.2557866396539762,0.0531264231271738,-0.2878622240431811,-0.3035705777749608,0.18266439045446747,0.12637226122023684,0.5469936272384733,-0.03114944742037362,0.5419475725661717,0.532087718760045
"Natural gas, US | ($/mmbtu)",0.460122218560296,0.16017007846126408,0.14345719978972088,0.15895336031375062,-0.17253721277939554,-0.041802667668817725,0.07540055967838737,-0.21803689913180335,-0.8266017091107675,0.9349375499958605,0.8421714790051565,0.721666213415882,-0.8171361973000716,0.6258087944307543,1.0,-0.6686791984469466,0.6128262560991237,-0.7950074344178252,0.40963816686866245,0.38593427298440697,-0.13879926399958653,-0.5399202867338285,-0.07520064963931514,-0.518359466247875,0.00814998480273735,-0.2470536310777183,-0.17551912036918263,-0.49234918859102866,-0.055657039620352525,-0.30689557946132884,-0.33855946638902884,0.5908315242464045,0.11759860708377559,0.6973254915844028,0.6510595947313863
euro per kWh.2,-0.4497125308099864,-0.113063606352984,-0.11876260743168168,-0.08495248120249825,-0.23316638454537567,-0.30634646001985416,-0.036183894783071456,-0.17939252598878377,0.7206052116709171,-0.5997179022796929,-0.6102564954352772,-0.9804329136227694,0.6700066712490759,-0.8736845524925005,-0.6686791984469466,1.0,-0.8548264947815409,0.5868273687994623,-0.45453856801308157,0.06600401849738441,-0.4581944439671048,0.07726428101719417,0.16958959764322334,0.06958825033893397,-0.032186765950906596,-0.24395467010097557,-0.005444664463219343,0.0664867494942486,0.08986277903385795,-0.3715294220700533,-0.33238191995644645,-0.41193692623457395,0.07740114404978891,-0.8066819659393519,-0.815773043036402
Week,0.44703913593794015,0.09587275470688539,0.10279987248607414,0.05203756598944659,0.17752881441810112,0.22955402624472532,0.012557234780010897,0.14583726234377653,-0.7870061979988606,0.5842366958755691,0.586083510470353,0.8825925845983484,-0.75584141662588,0.967724852339831,0.6128262560991237,-0.8548264947815409,1.0,-0.7013511553154499,0.2116457663077712,-0.1664007795625945,0.3794756279615823,-0.2112610979360781,-0.4308187535708303,-0.1415129273933698,-0.1701879732689031,0.2246692178602952,0.02857708902112314,-0.26649045696302226,-0.3065378150893233,0.19389816977124755,0.13840175065581048,0.5185400303042133,-0.04784875524594807,0.5273516522303829,0.5192206572104322
Year,-0.4433581880391339,-0.11529074279814527,-0.08561564996149781,-0.09469104186100828,0.2902409274697653,0.1681696083771184,-0.04626491095065452,0.320547150973298,0.9842811671587824,-0.8553073240620803,-0.7912577884007789,-0.7095822552173712,0.9942721194534494,-0.7309065168622385,-0.7950074344178252,0.5868273687994623,-0.7013511553154499,1.0,-0.21315820606346944,-0.3657999618707717,0.27835786556618036,0.8145574887233156,0.3975374117305351,0.7449549255935184,0.08129091374505704,-0.11136691009575858,-0.009103902928157522,0.7941245825599771,0.2131669047023373,0.43453797377477854,0.4677650452643495,-0.919749264573098,-0.48939854233007013,-0.5312155182004471,-0.46882689737779343
Beroepsbevolking|Seizoengecorrigeerd,0.2312384984680043,0.24464530191888836,0.2500744332896896,0.24008079594154194,-0.08826998144274298,0.1273229291164696,0.08535307116139026,-0.20758575751072555,-0.28166519439269216,0.45218853141183557,0.5154843273750884,0.43946614272606627,-0.2554233211035395,0.22388321680672235,0.40963816686866245,-0.45453856801308157,0.2116457663077712,-0.21315820606346944,1.0,0.5956063124841463,0.09569913326736855,-0.04693421349458967,0.10074014834768037,-0.13370370204882517,0.3106758431334745,0.07115664948532024,0.26783515687872483,-0.05405963056991941,0.2860118633382588,0.044553473916111676,0.017496375321506562,0.26810998538884895,0.23089647039166578,0.7593197640604922,0.757389514986157
Werkzame beroepsbevolking|Seizoengecorrigeerd,0.09416131778662407,0.18300203845173815,0.1395700328054437,0.19851696959679221,-0.6784988483452775,-0.46981601550418706,0.08165590965395435,-0.7406081117545854,-0.29883328875619575,0.5544613269897233,0.560854162769234,0.020721220436479136,-0.3266581745985012,-0.14781872850861108,0.38593427298440697,0.06600401849738441,-0.1664007795625945,-0.3657999618707717,0.5956063124841463,1.0,-0.7425725624074405,-0.5948774829435021,0.06602187927805005,-0.6216484223390639,0.2715381880600635,0.008546200858546916,0.17325194130754124,-0.49854510110723177,0.2634481357699056,-0.6962801550388977,-0.6766682046464056,0.483006485933681,0.6427368936932403,0.4582482478869258,0.40107750635761524
Werkloze beroepsbevolking|Seizoengecorrigeerd,0.07468381374767998,-0.023077849434115047,0.03548078773828114,-0.04572471610981924,0.7679541105980721,0.6889272429393567,-0.03044122419341385,0.7453162170357124,0.13841604341368768,-0.31262918179032195,-0.26796360832462746,0.33808658513593004,0.1947227622349805,0.36647184052614096,-0.13879926399958653,-0.4581944439671048,0.3794756279615823,0.27835786556618036,0.09569913326736855,-0.7425725624074405,1.0,0.6994736159270782,0.004200374551576566,0.659793597212545,-0.07664329610329018,0.045917613287972184,0.006040594534871868,0.5743822639525668,-0.08639309972997115,0.8995473115260043,0.8525042922176406,-0.376977005162789,-0.6044598541439075,0.06382765241172364,0.13325802705465944
Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,-0.1972437427280493,-0.08805018607617049,-0.045500367240960245,-0.07445314704213947,0.5269301700302975,0.41564469052451763,-0.049445519093341835,0.5362438874351815,0.7143469994341529,-0.6364600406053941,-0.5331601791619656,-0.23479660164486174,0.7569959458250287,-0.23022660715931068,-0.5399202867338285,0.07726428101719417,-0.2112610979360781,0.8145574887233156,-0.04693421349458967,-0.5948774829435021,0.6994736159270782,1.0,0.38027387894967957,0.9570651105884302,0.15398229397326404,-0.008190502412894842,0.05954434589776507,0.9574371855316777,0.232062408928585,0.7676040624381237,0.7631299100857223,-0.8603825438056467,-0.7358619808345259,-0.24365423493067528,-0.1645435799480571
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,-0.03192844234517448,-0.09519992487925849,-0.11765842254874422,0.013186941049711477,0.008038753999598693,0.005631102391632895,0.005445116451101291,-0.004675079237551712,0.37739562374409635,-0.08469166747491419,-0.05431309739025167,-0.24098729220993811,0.38685275918257395,-0.458948801775567,-0.07520064963931514,0.16958959764322334,-0.4308187535708303,0.3975374117305351,0.10074014834768037,0.06602187927805005,0.004200374551576566,0.38027387894967957,1.0,0.30419549268317503,0.757823580637612,-0.17181518169364166,0.06852775565378044,0.5398328837847407,0.8456015933222962,0.12709628387366514,0.13702318658523502,-0.3818814315740656,-0.19097529797461646,0.01962447437845989,0.03867462976442355
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,-0.16383996296024705,-0.09739555279699603,-0.05308739065743355,-0.0800011137815668,0.5411510518047057,0.4190482462617409,-0.056737062303538796,0.559789729039899,0.6530730160600632,-0.5922929139362575,-0.47972924052671356,-0.22139241981057897,0.6921701659093394,-0.1534424439330353,-0.518359466247875,0.06958825033893397,-0.1415129273933698,0.7449549255935184,-0.13370370204882517,-0.6216484223390639,0.659793597212545,0.9570651105884302,0.30419549268317503,1.0,0.09535872840394014,-0.025728681829989577,0.08716114809805978,0.9172581034222073,0.1628084667394941,0.7071263149513923,0.6972808712273686,-0.842880108879546,-0.8011176414224581,-0.28864871907213613,-0.21816005544236405
Aantal verkochte woningen|Aantal verkochte woningen,0.11229863004125758,-0.06678782520195843,-0.10887922986225958,0.06564620232335908,-0.19042067579060343,-0.1173475447204004,0.013794974038343144,-0.23611074357092704,0.06258797560164757,0.09205699481607106,0.15466472013296148,0.015135524699521757,0.07028011621034497,-0.15741271506621443,0.00814998480273735,-0.032186765950906596,-0.1701879732689031,0.08129091374505704,0.3106758431334745,0.2715381880600635,-0.07664329610329018,0.15398229397326404,0.757823580637612,0.09535872840394014,1.0,0.19421251667815875,0.41978888487667304,0.2755591627959623,0.9804327891016777,0.050217751059492846,0.045300964126416064,0.0061908494543679434,0.13994154629715408,0.19522414263501936,0.20070386808045018
Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,0.014741345682477787,-0.05003537140292161,-0.0932278146993649,-0.09384491135823152,-0.14301019006091767,-0.13367705403528607,-0.0009814848592868308,-0.1438306977326769,-0.14857162844256983,-0.09881459662914807,0.0015629791914658847,0.2504389148626924,-0.134303580472516,0.2557866396539762,-0.2470536310777183,-0.24395467010097557,0.2246692178602952,-0.11136691009575858,0.07115664948532024,0.008546200858546916,0.045917613287972184,-0.008190502412894842,-0.17181518169364166,-0.025728681829989577,0.19421251667815875,1.0,0.47130590547721957,0.04101733765249794,0.05659154881598515,0.24513693720334534,0.26741412503941697,0.24677320051531967,0.3442787607032871,0.22606665904448056,0.23555123900376818
