,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Bruto investeringen in vaste activa|Overheid,euro per kWh.1,euro per m3,Week,Month,"Liquefied natural gas, Japan | ($/mmbtu)",Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Diensten,"Coal, South African ** | ($/mt)",Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Totaal,Beroepsbevolking|Seizoengecorrigeerd,Werkzame beroepsbevolking|Seizoengecorrigeerd,Werkloze beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI | %,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal
euro per m3,0.22046694778853237,0.09752272740834912,0.0894268503755718,0.054325154375070274,0.1373212274814549,0.23012914182886093,0.005801767748302347,0.09557077972980957,0.6047216483309036,-0.9998392812993225,1.0,0.6456744509226223,0.6673380867752833,0.4916598852035795,-0.36540620584571626,0.7021578082471052,-0.4517536956235137,0.6880668867382536,-0.3301670583165785,-0.2745404999446397,0.15681284921633296,-0.15079778009436334,-0.16269969728173328,-0.176539076515459,0.05203168854643755,-0.02216159749705437,-0.25720678519801526,0.07251839524601926,-0.06816418908443848,0.1693899455019606,0.18982901647727765,0.024580181503011486,-0.11065625473383034,-0.3850607938010866
Week,0.21677780828761134,0.010269148922369308,0.013171258294415783,0.027685012578813475,0.3107887231846244,0.3671290256404018,0.0038396591145898437,0.25104744222897324,0.9044903742458817,-0.6556373812276567,0.6456744509226223,1.0,0.951783290374983,0.5692504923737867,-0.7559737502807552,0.8586540959225829,-0.06121250473346959,0.8501739616375864,-0.2416876504382864,-0.4508527959109137,0.49364515954436355,-0.5287790953817789,-0.4478565130211265,-0.4672996347274455,-0.17919365876637988,0.1592199823162986,-0.44936725292335944,-0.33226069351606813,-0.3077605858369614,0.18090606438783227,0.2194302538808211,0.2727006866729454,0.07766483290212436,0.11591937579008854
Month,0.19973299299421632,-0.013786983349539386,-0.001356261150578563,-0.0031982619955033915,0.34637893418048593,0.3909416752413936,-0.005296740833138451,0.29404312305104124,0.9299668604412233,-0.6775121326188837,0.6673380867752833,0.951783290374983,1.0,0.5605957056107039,-0.7876592417626838,0.9038231913864924,-0.036091131673216134,0.8970462112023894,-0.19368101150080294,-0.4281306310938926,0.4966487023400351,-0.5460641427519755,-0.5284834145959133,-0.4882737407996531,-0.26101778112290674,0.1932352961891034,-0.4564491388447782,-0.3607820745090652,-0.4003724157435969,0.21922765301331165,0.25760461778981525,0.26095239032893375,0.057686257030137814,0.09256754685370656
"Liquefied natural gas, Japan | ($/mmbtu)",0.1872108783532429,0.04897874695989917,0.033198678446514696,0.02087601996677397,0.1552557878358816,0.17379149604891897,0.04225300079493205,0.12099662365144155,0.7478624281190345,-0.5041596025621866,0.4916598852035795,0.5692504923737867,0.5605957056107039,1.0,-0.26559799400553485,0.5213562055855366,-0.050529495036968734,0.4797524444403497,-0.7111504816227849,-0.9420787059175818,0.8720307359490207,-0.7895112869454403,-0.09069874347155922,-0.702856134576671,-0.06774795088012056,0.02155928622713465,-0.06713139082097785,-0.5310988738546938,-0.08095554549833643,0.058774404627802264,0.11687893229057951,0.759559829014964,0.6358862073759292,0.37851129582215476
Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product,-0.18206428058488133,0.02766682484902483,0.047672892023536674,-0.028224668031992514,0.0015820753804086016,-0.06305957446880191,0.001507742242290334,0.05487870336333087,-0.7987323136273689,0.37224870879733774,-0.36540620584571626,-0.7559737502807552,-0.7876592417626838,-0.26559799400553485,1.0,-0.5840318472208059,0.17933841117259822,-0.5898809943386698,0.04170762407439567,0.22481179341511315,-0.3081365601809866,0.25756371224391295,0.49864369334646647,0.15908228181162573,0.13957415779002316,-0.17801381166907496,0.5918243484231324,0.09292425183045387,0.22896923494717358,0.12177633553971683,0.0984191153628944,-0.0870330013339607,0.08223737548914832,-0.37091158185033296
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Diensten,0.17424969402529908,0.008308037327271414,0.050353465787701564,-0.028499340861412956,0.5499556842975137,0.5479317273229678,0.0026323009133091355,0.5120435422427876,0.8146075388361125,-0.7117230033070793,0.7021578082471052,0.8586540959225829,0.9038231913864924,0.5213562055855366,-0.5840318472208059,1.0,0.11284047314735245,0.9986905426922654,-0.05177188548333593,-0.3543227851640928,0.4954813234387964,-0.55298988814891,-0.4006796904356568,-0.5643074539296323,-0.2698807947184973,0.028640838930921005,-0.19019903860898693,-0.31378826138934557,-0.3943233613844799,0.5054060178183423,0.5359880082764248,0.165349508988353,-0.048975175734747,-0.20401964775439566
"Coal, South African ** | ($/mt)",-0.1740784972749238,-0.03910527868723858,0.031068359304719323,-0.09789100095621853,0.603409379196373,0.4617490412927553,0.011548163293533486,0.6310238186944075,-0.04598796125220046,0.4425902486602929,-0.4517536956235137,-0.06121250473346959,-0.036091131673216134,-0.050529495036968734,0.17933841117259822,0.11284047314735245,1.0,0.11931441349064924,0.22747968000719146,-0.05868948262495479,0.26725354053711314,-0.4233042377912182,-0.07362026581462179,-0.45823160785237066,-0.4357159086107363,-0.033624949653824614,0.43964856930517704,-0.4949880800173509,-0.3971158710871241,0.5520076104713676,0.5588678628258493,0.3066462102758386,0.3084119697261823,0.09278120731667058
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Totaal,0.1688696084829091,0.0048868915392525575,0.04902650166670737,-0.030624458784840936,0.5549729173544384,0.5508620194319794,0.0002722550542976048,0.518299190427076,0.7958102997943106,-0.6972529498542004,0.6880668867382536,0.8501739616375864,0.8970462112023894,0.4797524444403497,-0.5898809943386698,0.9986905426922654,0.11931441349064924,1.0,-0.005838041351707771,-0.3102802349247651,0.4646179875868202,-0.5240168888873653,-0.40779338317115044,-0.539209366017355,-0.2774137327976737,0.02354275703320882,-0.1891840175698208,-0.28983256869591706,-0.4024018330034245,0.5140688235607224,0.5421754716951768,0.12323751731748277,-0.09109695872692238,-0.22720740262244674
Beroepsbevolking|Seizoengecorrigeerd,-0.15429643229955958,-0.10808706889550491,-0.06495613683165093,-0.10092174892353985,0.15041828111199324,0.059440588162133455,-0.03639125438938586,0.20858601201603802,-0.4184470028587509,0.33623371098751026,-0.3301670583165785,-0.2416876504382864,-0.19368101150080294,-0.7111504816227849,0.04170762407439567,-0.05177188548333593,0.22747968000719146,-0.005838041351707771,1.0,0.8054806530359191,-0.4377325046253068,0.43783081351783515,-0.2338234232213583,0.34725493814166775,-0.38179796813708394,-0.12294527728388757,0.152660355001636,0.36275233245199473,-0.3728223866457155,0.3682538420362445,0.32208890555954195,-0.7186677503209222,-0.7330606791228763,-0.45758418527511757
Werkzame beroepsbevolking|Seizoengecorrigeerd,-0.15511723724745957,-0.04003274869860287,-0.019437806929491378,-0.024850159398322417,-0.0979357290839321,-0.10698622677241587,-0.04927344271320766,-0.05966180275595797,-0.6788707137963881,0.28824002985447195,-0.2745404999446397,-0.4508527959109137,-0.4281306310938926,-0.9420787059175818,0.22481179341511315,-0.3543227851640928,-0.05868948262495479,-0.3102802349247651,0.8054806530359191,1.0,-0.8853299367787506,0.8321272983830119,0.022231365423351492,0.7244743499757932,0.0034870654989902815,-0.08878749271862868,0.05567536607085358,0.6551976586286586,-0.00048436351439389605,0.02306047852870416,-0.03637715076401519,-0.8953312573734378,-0.805188434836093,-0.5797949841970561
Werkloze beroepsbevolking|Seizoengecorrigeerd,0.11407847649710315,-0.02433181188640711,-0.02228435803446837,-0.04327201760842494,0.2682020636383965,0.210127247850795,0.04654605040600594,0.2558736267082482,0.7015235324155796,-0.17283913152413244,0.15681284921633296,0.49364515954436355,0.4966487023400351,0.8720307359490207,-0.3081365601809866,0.4954813234387964,0.26725354053711314,0.4646179875868202,-0.4377325046253068,-0.8853299367787506,1.0,-0.9190051313915438,-0.2177572717347354,-0.8286075958754324,-0.30240924697240523,0.034365568470533105,0.03706527350184188,-0.7067907058990169,-0.2888773465372967,0.25280563369749987,0.3067298833477378,0.7952872477148111,0.6471053913652376,0.5224533533390511
Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,-0.07592671417001645,0.01835194107254378,-0.0008079669008272466,0.06099302761007531,-0.4222938827246566,-0.36639178068378453,-0.04231731947683378,-0.4009380049257175,-0.6883314142777337,0.16754663779091855,-0.15079778009436334,-0.5287790953817789,-0.5460641427519755,-0.7895112869454403,0.25756371224391295,-0.55298988814891,-0.4233042377912182,-0.5240168888873653,0.43783081351783515,0.8321272983830119,-0.9190051313915438,1.0,0.37217742196307957,0.9593662838109365,0.349382300990318,-0.22325148146447116,0.015362590212202317,0.8727969684276072,0.3925699970796723,-0.31158412659549556,-0.3656584329951366,-0.8491621659543505,-0.7264202221391238,-0.44713394210575164
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,-0.015421349341547371,0.04431420815618993,0.050347599611459466,0.06581754149803185,-0.14711298224894173,-0.14525008714666154,0.0031726125149520524,-0.14550558957523782,-0.4237545826032403,0.16779130583505186,-0.16269969728173328,-0.4478565130211265,-0.5284834145959133,-0.09069874347155922,0.49864369334646647,-0.4006796904356568,-0.07362026581462179,-0.40779338317115044,-0.2338234232213583,0.022231365423351492,-0.2177572717347354,0.37217742196307957,1.0,0.39890133709337305,0.7131760081685146,-0.37785374907691616,0.3378097228446826,0.4509631820251882,0.8044917399079176,-0.06760805748465931,-0.07950898431267085,-0.11727605463043576,-0.03675942518699584,-0.11994344296995028
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,-0.04678348392513737,0.025238354252510396,-0.002846903732474384,0.09565340172359058,-0.5247605984522499,-0.45706130542268436,-0.04457440452734568,-0.5073013209613553,-0.601376211209104,0.1917642591860527,-0.176539076515459,-0.4672996347274455,-0.4882737407996531,-0.702856134576671,0.15908228181162573,-0.5643074539296323,-0.45823160785237066,-0.539209366017355,0.34725493814166775,0.7244743499757932,-0.8286075958754324,0.9593662838109365,0.39890133709337305,1.0,0.327965296654869,-0.24787263287279,-0.018198610247282747,0.8264838136238537,0.39310027748042253,-0.4007512208851676,-0.4478374040069956,-0.7837446791497388,-0.6734518909232593,-0.28357895007677303
Aantal verkochte woningen|Aantal verkochte woningen,0.0732516150209677,0.03813719012305872,0.021396947770648808,0.07500057184975172,-0.2737793960583943,-0.18067734980248024,0.004796233327455915,-0.3200782644512681,-0.1676459734877347,-0.04669179060578059,0.05203168854643755,-0.17919365876637988,-0.26101778112290674,-0.06774795088012056,0.13957415779002316,-0.2698807947184973,-0.4357159086107363,-0.2774137327976737,-0.38179796813708394,0.0034870654989902815,-0.30240924697240523,0.349382300990318,0.7131760081685146,0.327965296654869,1.0,-0.010779239560008572,-0.24718861734141048,0.48894264944222005,0.9645582335176494,-0.3926148854468701,-0.3982546832503195,-0.09355816545798944,-0.026869879294242796,-0.0027410950586589634
