,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,Week,Month,"Crude oil, WTI | ($/bbl)","Crude oil, average | ($/bbl)","Crude oil, Dubai | ($/bbl)","Crude oil, Brent | ($/bbl)",Werkloze beroepsbevolking|Seizoengecorrigeerd,"Coal, South African ** | ($/mt)","Coal, Australian | ($/mt)",euro per kWh.1,Beroepsbevolking|Seizoengecorrigeerd,Werkzame beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI | %,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product
"Crude oil, WTI | ($/bbl)",-0.4279471604474047,-0.13737283404570264,-0.11045311461734499,-0.17632010365658682,0.38449550689333895,0.1994301599213719,-0.08175340704210549,0.4611217191671414,-0.5567649659934283,-0.5414741104870703,1.0,0.9932750813989111,0.9793517234550689,0.9886940670986479,-0.7230442652718333,0.5386701409239257,0.5677107126509601,0.5847575478874474,0.1489068565279154,0.33577914119212404,0.6305698233108461,0.22293751155432787,0.2313266379762454,-0.3907916721264234,-0.10502896327403526,-0.05579734815164559,0.46811890071756046,-0.3342847256608585,0.060031839401018146,0.22067406215054586,,,,
"Crude oil, average | ($/bbl)",-0.42546070351667403,-0.1461768859407353,-0.1197920762456943,-0.18824111470290633,0.437107867316222,0.2426672126531755,-0.08460533212015585,0.515713707146286,-0.5285659817223652,-0.5112003589913896,0.9932750813989111,1.0,0.9956728133239353,0.9987881759434367,-0.6616059913100634,0.5732363851155714,0.603850020327076,0.617497735578621,0.20794287566835412,0.38220108867887276,0.6748508343275331,0.1618045426354162,0.16905793034509023,-0.4186518275508709,-0.08165969689492356,-0.03998476587163135,0.5322476586401875,-0.35130768176791477,0.13228108883932232,0.2942478332043467,,,,
"Crude oil, Dubai | ($/bbl)",-0.4230400179504377,-0.15352594615051116,-0.1271998490453913,-0.19850012747942247,0.47459979543384995,0.27353418484495967,-0.08885277874058953,0.5553900911286634,-0.5114030515734861,-0.49288250771199094,0.9793517234550689,0.9956728133239353,1.0,0.9952454261971465,-0.6102908110125489,0.5810286222768126,0.6128504397297262,0.6256495042054491,0.2284931234521765,0.39078195645695124,0.6959454966824649,0.13336987461248878,0.14307558335559054,-0.4302293612027091,-0.061982733153504214,-0.03113307334120212,0.5758597663009939,-0.35480093422208014,0.17348398656732789,0.33183132613475075,,,,
"Crude oil, Brent | ($/bbl)",-0.42048541637694586,-0.1457119612035902,-0.12007984198367068,-0.1874302872080636,0.4455465430494859,0.25090617066907966,-0.08223870287337616,0.5230072971531271,-0.5123595032236515,-0.4943537049472445,0.9886940670986479,0.9987881759434367,0.9952454261971465,1.0,-0.6452931773929177,0.5915247527936087,0.622103110049311,0.6332155819551035,0.24124530105435193,0.4130754475373991,0.6883637773529031,0.12975667478912006,0.13351985739647157,-0.4288405808623711,-0.07758573510165585,-0.03314595033328248,0.5445315843625828,-0.35983913889377467,0.15913563448458454,0.32391280927512067,,,,
Werkloze beroepsbevolking|Seizoengecorrigeerd,0.35886776701334877,0.07189031027783825,0.05701577556065251,0.07933715716545559,0.18033936059336136,0.2707634332678278,0.0525311603257322,0.11304433214916915,0.6738222127892086,0.6692081614181802,-0.7230442652718333,-0.6616059913100634,-0.6102908110125489,-0.6452931773929177,1.0,-0.2360564573868141,-0.2485988756357617,-0.2669331368815603,0.3053878168443932,0.07064581676530084,-0.1179091258477402,-0.5344897090122092,-0.6001924821269377,0.1865322751983208,0.05533544549284339,0.36578689517699026,0.04089100856964532,0.20838604084990986,0.3880721325077118,0.26714728248574027,,,,
"Coal, South African ** | ($/mt)",-0.32919865082352623,-0.049749357544499766,-0.03191864269473837,-0.1033002733697853,0.3308773872383898,0.21326051583439826,-0.004328355436462457,0.38147219152342643,-0.5117126762244446,-0.516627084620358,0.5386701409239257,0.5732363851155714,0.5810286222768126,0.5915247527936087,-0.2360564573868141,1.0,0.9968266602622485,0.9694235086853039,0.5641432497737282,0.6503220248778593,0.8515938152703865,-0.20359300260039787,-0.37680678268015366,-0.05970381523380972,-0.32900913410242344,0.11416668115968574,0.7602744597894592,0.0342725611312606,0.6097833219071322,0.7317454052337496,,,,
"Coal, Australian | ($/mt)",-0.32791916332770266,-0.050590728242882105,-0.02972668744551059,-0.104931324705477,0.356918174762052,0.2332420150729647,-0.007580576940598842,0.40952531005589393,-0.5035472760551588,-0.5056758500160571,0.5677107126509601,0.603850020327076,0.6128504397297262,0.622103110049311,-0.2485988756357617,0.9968266602622485,1.0,0.9816573018011582,0.5887942777789853,0.6791325484435198,0.8730655716524909,-0.20730101452869074,-0.39030835326390995,-0.1205347190251219,-0.33559030261331585,0.1475053818397003,0.7757334095600721,-0.02459699942407124,0.626658768979903,0.7484346296420462,,,,
euro per kWh.1,-0.3192717353553769,-0.05368448551523728,-0.023127698592258158,-0.10715299239175688,0.3585554933186745,0.2393896681171663,-0.008604531562667904,0.4080271256333485,-0.5405178792123186,-0.5465016495893755,0.5847575478874474,0.617497735578621,0.6256495042054491,0.6332155819551035,-0.2669331368815603,0.9694235086853039,0.9816573018011582,1.0,0.5741505212970319,0.6685063883312667,0.8845392984770172,-0.10420122019248117,-0.3914613554911393,-0.11393006389529746,-0.45189496792973693,0.1573094556927462,0.8093212806624178,-0.016819003236784917,0.6199902525094647,0.7448807826046108,,,,
Beroepsbevolking|Seizoengecorrigeerd,0.0640686969333026,-0.004983555877009554,-0.00035732481635230304,-0.027272098984538674,0.4888722777429485,0.4185508513372359,0.038008204798904835,0.4981045567145485,0.34299487656564853,0.36496084490233516,0.1489068565279154,0.20794287566835412,0.2284931234521765,0.24124530105435193,0.3053878168443932,0.5641432497737282,0.5887942777789853,0.5741505212970319,1.0,0.9714090284512827,0.7079778549218493,-0.696101726636098,-0.9042626767285253,-0.38212039600471837,-0.11572051829869683,0.6524499853363934,0.5370642364425471,-0.3033088465826984,0.9101772171345078,0.9174046030870859,,,,
Werkzame beroepsbevolking|Seizoengecorrigeerd,-0.022425741407078842,-0.02317229066603641,-0.01461579033139323,-0.04807701047164567,0.46685177687958657,0.37089983780522273,0.026918562544955116,0.4930406491170504,0.1906940747166211,0.21466867716428004,0.33577914119212404,0.38220108867887276,0.39078195645695124,0.4130754475373991,0.07064581676530084,0.6503220248778593,0.6791325484435198,0.6685063883312667,0.9714090284512827,1.0,0.7713441692195577,-0.5942086238355059,-0.7979721254959228,-0.44414826544502006,-0.13661101662016545,0.5921317633430656,0.5532810019674907,-0.36697148332018664,0.8561374184096524,0.8946317764818739,,,,
Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,-0.27383025727210525,-0.09106446308915979,-0.06286495290597603,-0.14444033400090117,0.6485764448931071,0.49327158053309134,-0.03317007255367719,0.6907141391001906,-0.28397776850595396,-0.27867523238899083,0.6305698233108461,0.6748508343275331,0.6959454966824649,0.6883637773529031,-0.1179091258477402,0.8515938152703865,0.8730655716524909,0.8845392984770172,0.7079778549218493,0.7713441692195577,1.0,-0.20068290215495727,-0.45916027147071603,-0.24126151916331132,-0.3832535058915326,0.4239676614765214,0.9007612338537598,-0.12018832093477011,0.7272843045320435,0.8377184252990245,,,,
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,-0.18900924092950963,-0.1125217532829329,-0.08680268341571207,-0.08565836329813874,-0.2572197087452986,-0.2598839458081663,-0.0580584483836629,-0.24428106343377065,-0.5994131453502419,-0.6357918218383334,0.22293751155432787,0.1618045426354162,0.13336987461248878,0.12975667478912006,-0.5344897090122092,-0.20359300260039787,-0.20730101452869074,-0.10420122019248117,-0.696101726636098,-0.5942086238355059,-0.20068290215495727,1.0,0.7141320098279097,0.43670202936016966,-0.392937946353349,-0.5254654650361265,-0.035438468167225776,0.4153913619966871,-0.5910234214357473,-0.5051095922921742,,,,
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,-0.22614286960880725,-0.05152180870395388,-0.053831638763187355,-0.04450762681530586,-0.30917678107543717,-0.32085767987699765,-0.07493004624252922,-0.2844238313142819,-0.48147205058923387,-0.4894089036886848,0.2313266379762454,0.16905793034509023,0.14307558335559054,0.13351985739647157,-0.6001924821269377,-0.37680678268015366,-0.39030835326390995,-0.3914613554911393,-0.9042626767285253,-0.7979721254959228,-0.45916027147071603,0.7141320098279097,1.0,0.15628360420536608,0.18907959566123733,-0.580297634567071,-0.3820233097831079,0.10099412903694258,-0.8712310409259529,-0.8189303812635049,,,,
