,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,euro per kWh.1,euro per kWh,Natural gas index | (2010=100),Year,Jaarmutatie CPI | %,euro per m3.1,"Natural gas, Europe | ($/mmbtu)",WeekKey,Werkloze beroepsbevolking|Seizoengecorrigeerd,"Natural gas, US | ($/mmbtu)",Beroepsbevolking|Seizoengecorrigeerd,Werkzame beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product
Natural gas index | (2010=100),0.3332950520331168,0.017042879010033037,-0.03683602040638657,0.0024251953649663846,-0.48256804426553973,-0.3757713077261067,0.05028007650621834,-0.49803682895732787,-0.7753391822117852,-0.8643689008184459,1.0,-0.8702258885933228,-0.8409080073430367,-0.6017149866660062,0.9598964287710439,-0.9241136301801741,0.6140488548970029,0.9140673930108444,-0.8835940333710688,-0.8866187993157921,-0.8707814043057469,0.0016319425691272654,0.8948947318940952,0.11676568161233927,-0.14961761377231395,-0.4851512552118676,-0.8034274468129576,0.06583306255275777,-0.9343472546446364,-0.7970883782952071,-0.16920753228176924,-0.725371159042537,0.36458610001728536
Year,-0.33277563299246876,0.0068846914110918716,0.027199337554679202,0.022861463906639266,0.09879857526316382,0.02784670288258803,-0.06336875550236246,0.12526021891702355,0.9691931010378554,0.9997893002793594,-0.8702258885933228,1.0,0.8943455628795064,0.8557690718417396,-0.8689498252889155,0.9694758328665132,-0.7505596084704772,-0.7599136509516367,0.8214829069665991,0.8774896374246616,0.8700664056830888,0.16406266707847542,-0.8451168649110177,0.11626115240775811,0.07909910198219906,0.4792422985296189,0.7877792216785019,0.22030876582376163,0.8139734837185002,0.5384742049525535,-0.08575860468246813,0.5934254332979014,0.01802544018486586
Jaarmutatie CPI | %,-0.3305788153186588,0.0169439655513678,0.04300392828491091,-0.0038285147198430514,0.16480400419651678,0.0837344575814783,-0.08140078107880319,0.19881433083429778,0.8637864256439028,0.893906509398564,-0.8409080073430367,0.8943455628795064,1.0,0.7590368037531973,-0.8465453570657878,0.8851649890658652,-0.7274962459824305,-0.7231612037270967,0.7468732386822423,0.8099698781620609,0.7586600386296863,-0.02512078095538525,-0.795291691135414,-0.12284874930383674,0.04019656986935061,0.36100468806940245,0.7309386926123893,-0.02241223415864871,0.795582504114756,0.5786821952266054,0.33567711584072446,0.5114509621766984,-0.038854611233452546
euro per m3.1,-0.3269831290932996,0.016055682629135048,0.028614670224506637,0.027799000798656066,-0.17358227501142617,-0.23070603246847915,-0.09370620459363269,-0.1311223554231089,0.9568318501549503,0.8662085353150615,-0.6017149866660062,0.8557690718417396,0.7590368037531973,1.0,-0.6096743554169103,0.7403489751106426,-0.7650153486534218,-0.5153436560683374,0.48151088667709113,0.6115825173235164,0.5334091342918035,0.14529709379861888,-0.5272598646173391,0.062108690269858186,-0.08618433199291224,0.3056642905099511,0.41098184189093645,0.19528980537505328,0.4379425845933585,0.0849852192786805,-0.20835773170666727,0.4405290410480715,0.14448594675583476
"Natural gas, Europe | ($/mmbtu)",0.32274670668803346,-0.002444996934661466,-0.045459107330277235,-0.020436386019661187,-0.3748979023298837,-0.29138275875400654,0.05742875644334999,-0.3802386751189849,-0.7784115841317341,-0.8634522332806113,0.9598964287710439,-0.8689498252889155,-0.8465453570657878,-0.6096743554169103,1.0,-0.9431876812497622,0.7230975167296074,0.7643821545890392,-0.9311878885305958,-0.9568979467767466,-0.9057828776564696,0.05159640774824719,0.9043197962346845,0.11479674305589779,-0.2120581486488195,-0.44686892519984234,-0.8005164629498134,0.0733318300998775,-0.9198174484566607,-0.7749807568564219,-0.16337191862781983,-0.5595503649640418,0.32087739781412355
WeekKey,-0.31613604861044353,0.0019944425071485045,0.025776308079009894,0.00915247811911839,0.21265943575682145,0.13426305926862542,-0.06385600759098575,0.23177783601391375,0.8970963682245879,0.9657285177140932,-0.9241136301801741,0.9694758328665132,0.8851649890658652,0.7403489751106426,-0.9431876812497622,1.0,-0.7464250096373555,-0.7728255761197848,0.9234224450086205,0.9574466072191636,0.9431421965084155,0.07140948299142373,-0.9219352401277282,0.04942046065240351,0.11764069097946792,0.47484000339096244,0.8501838633079141,0.1315170455976025,0.901528317701706,0.6845197083204192,0.004961432515493985,0.5723585233223715,-0.1213889173037913
Werkloze beroepsbevolking|Seizoengecorrigeerd,0.3020245825641711,0.031467652983339256,0.022545990509335322,0.038984425115486436,0.10532762378927392,0.17238937813759522,0.12418451618067697,0.05971298328989113,-0.7858564063482469,-0.7552701504576573,0.6140488548970029,-0.7505596084704772,-0.7274962459824305,-0.7650153486534218,0.7230975167296074,-0.7464250096373555,1.0,0.37026402193834584,-0.5852581882059671,-0.7642135121474821,-0.5969693487613914,0.21191491599709752,0.5535697902594905,0.2433283625896706,-0.2554286705183591,-0.36230584519613623,-0.43380776758030576,0.17308851422921523,-0.5406362763234052,-0.2989223540896181,-0.006750735580391722,-0.20735798479236592,0.08077730609998394
"Natural gas, US | ($/mmbtu)",0.3000256651427078,0.03911808904421252,-0.0203023788510435,0.031508906450922795,-0.5515589783394028,-0.42912092277127994,0.03276848670104734,-0.5798708569205809,-0.672248442945459,-0.7543985265939406,0.9140673930108444,-0.7599136509516367,-0.7231612037270967,-0.5153436560683374,0.7643821545890392,-0.7728255761197848,0.37026402193834584,1.0,-0.6928423746281818,-0.662160401085237,-0.7014432432645278,-0.07006821240881428,0.7649874556825671,0.09000660218614928,-0.03361528529738654,-0.46079094016569483,-0.7013716959404183,0.029042814241635503,-0.8231772366213498,-0.7093145560104338,-0.14343658597391062,-0.8524317678506564,0.3398098668179804
Beroepsbevolking|Seizoengecorrigeerd,-0.2297026908739299,0.01949884279186284,0.04295319119368312,0.040517087685084656,0.34656890487899544,0.2880046156508044,-0.02996442110065606,0.33772419952742216,0.6907299066924625,0.8125219297379923,-0.8835940333710688,0.8214829069665991,0.7468732386822423,0.48151088667709113,-0.9311878885305958,0.9234224450086205,-0.5852581882059671,-0.6928423746281818,1.0,0.9702122285843967,0.9711778223897003,-0.0010471498848141725,-0.9488392235904839,0.021859687448983443,0.06811341418429431,0.3607910259891097,0.8659561122329015,0.07485130410123397,0.9144713214725195,0.7977781916299352,0.06030333049400423,0.4839390370742136,-0.2553252996568171
Werkzame beroepsbevolking|Seizoengecorrigeerd,-0.2729437567888641,0.005879892998082593,0.0273664687760259,0.020728428855607363,0.24476443698467357,0.17800053797280996,-0.060893226445558044,0.25131483829355605,0.7841175227362662,0.8717759953618762,-0.8866187993157921,0.8774896374246616,0.8099698781620609,0.6115825173235164,-0.9568979467767466,0.9574466072191636,-0.7642135121474821,-0.662160401085237,0.9702122285843967,1.0,0.9508659533650213,-0.06393050346811088,-0.9202865402384496,-0.05440885609710037,0.13116927808786563,0.39669056517950985,0.8183807531128675,0.008317671021609657,0.8890734910194051,0.7242294053318314,0.04812397910922979,0.4478434696254089,-0.22913586522026766
Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,-0.23358627674497337,-0.0017621135431958685,0.0170461488802122,0.02392466477150281,0.2858583127800016,0.22992118289564564,-0.021753958988382442,0.28247006211531117,0.742730758962051,0.861504732044903,-0.8707814043057469,0.8700664056830888,0.7586600386296863,0.5334091342918035,-0.9057828776564696,0.9431421965084155,-0.5969693487613914,-0.7014432432645278,0.9711778223897003,0.9508659533650213,1.0,0.18408625360587066,-0.9173860630286682,0.18243625380301928,0.12881724964817287,0.5080969129926814,0.9310736754256631,0.23806950402161847,0.9352948582480435,0.7971427751033885,0.006932428054563901,0.5000642388872998,-0.18879903874956647
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,-0.0011932391287224349,-0.01881337954262137,-0.02067051293896975,0.017845924767945165,-0.054648617474911454,-0.02007135968757369,0.09627118904986855,-0.07966105781490969,0.16133991361419256,0.16422240814336997,0.0016319425691272654,0.16406266707847542,-0.02512078095538525,0.14529709379861888,0.05159640774824719,0.07140948299142373,0.21191491599709752,-0.07006821240881428,-0.0010471498848141725,-0.06393050346811088,0.18408625360587066,1.0,0.10345377596289448,0.7500418563516376,0.005064873371230765,0.4535123933883737,0.29454772316608896,0.7694515417513987,0.07690689055753354,0.008129643778550995,-0.2823395006019226,0.19743256636658316,0.18696708430015585
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,0.23975961609418914,-0.028648903949363376,-0.05230628515757912,-0.053861311157770875,-0.3177582384270002,-0.25170689993931017,0.043604451875914205,-0.31993629696808196,-0.7257870482455405,-0.8371636008032811,0.8948947318940952,-0.8451168649110177,-0.795291691135414,-0.5272598646173391,0.9043197962346845,-0.9219352401277282,0.5535697902594905,0.7649874556825671,-0.9488392235904839,-0.9202865402384496,-0.9173860630286682,0.10345377596289448,1.0,-0.033601010568934934,-0.05459231241309048,-0.3288804191013449,-0.8451416841253847,-0.08817061881930137,-0.9138820396495393,-0.7825617505976108,-0.08473826836933042,-0.515282433712523,0.18068343324095706
Aantal verkochte woningen|Aantal verkochte woningen,0.08558646086779198,0.03081670005353393,-0.0009454264889272341,0.10292172264434757,-0.25084377121021567,-0.1742565148672429,0.0810842097090485,-0.29365616907201775,0.09488184941226929,0.11475339104812145,0.11676568161233927,0.11626115240775811,-0.12284874930383674,0.062108690269858186,0.11479674305589779,0.04942046065240351,0.2433283625896706,0.09000660218614928,0.021859687448983443,-0.05440885609710037,0.18243625380301928,0.7500418563516376,-0.033601010568934934,1.0,0.07435929988160435,0.26046004278220597,0.23708890070507943,0.9795262130997254,0.05600449335690301,0.00703595365753223,-0.4480455683691965,-0.04213899254331743,0.3033856566221745
Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,-0.08700908514341879,-0.06623518729663956,-0.05507740886842026,-0.03832644350592234,0.049529562161398984,0.041901256540051536,0.005626318125496935,0.04819530406012717,0.0034060418522028012,0.07297722437156305,-0.14961761377231395,0.07909910198219906,0.04019656986935061,-0.08618433199291224,-0.2120581486488195,0.11764069097946792,-0.2554286705183591,-0.03361528529738654,0.06811341418429431,0.13116927808786563,0.12881724964817287,0.005064873371230765,-0.05459231241309048,0.07435929988160435,1.0,0.46842511100744766,0.11865330281879849,-0.05324800495839866,0.2233092719175243,0.27307408141613815,0.016518911022941014,-0.15909036211624625,0.01782661473772034
Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,-0.17407960062664712,-0.1255418254518519,-0.09455086377748631,-0.07523573551010364,0.16166374340198977,0.09069064447710191,-0.003403136375077731,0.1930018625187632,0.41474904309892174,0.47499686011913145,-0.4851512552118676,0.4792422985296189,0.36100468806940245,0.3056642905099511,-0.44686892519984234,0.47484000339096244,-0.36230584519613623,-0.46079094016569483,0.3607910259891097,0.39669056517950985,0.5080969129926814,0.4535123933883737,-0.3288804191013449,0.26046004278220597,0.46842511100744766,1.0,0.5696359119221891,0.23423330965891645,0.5592135342255988,0.504041226173489,-0.019449548506657022,0.3873785925323198,-0.26319957710664027
Gemiddelde verkoopprijs,-0.19184124322935361,-0.011220330724861245,0.007837145753317197,-0.00035562388451657745,0.31714535982564335,0.26419556681359035,0.004647720411788503,0.3171237653771553,0.6382185663799675,0.7771713740473164,-0.8034274468129576,0.7877792216785019,0.7309386926123893,0.41098184189093645,-0.8005164629498134,0.8501838633079141,-0.43380776758030576,-0.7013716959404183,0.8659561122329015,0.8183807531128675,0.9310736754256631,0.29454772316608896,-0.8451416841253847,0.23708890070507943,0.11865330281879849,0.5696359119221891,1.0,0.28288852445299234,0.9275341145880462,0.8399041374798859,0.16924301779321663,0.5101059345670304,-0.11279261091241517
Totale waarde verkoopprijzen,0.05899628902479106,0.03651685136240617,0.0011008560509747807,0.09956131973185241,-0.2895738335602343,-0.2188537258623597,0.06972609694693878,-0.3231527016952493,0.21673829014654025,0.22053041597489725,0.06583306255275777,0.22030876582376163,-0.02241223415864871,0.19528980537505328,0.0733318300998775,0.1315170455976025,0.17308851422921523,0.029042814241635503,0.07485130410123397,0.008317671021609657,0.23806950402161847,0.7694515417513987,-0.08817061881930137,0.9795262130997254,-0.05324800495839866,0.23423330965891645,0.28288852445299234,1.0,0.0802974603219059,-0.024393999772639754,-0.47489760516879553,0.012429183383499586,0.36848713676460915
CPI | 2015 = 100,-0.2588675879421351,-0.023641318625799487,0.01508621145081347,-0.00839313945300151,0.45788599582240047,0.3721628964545561,-0.028774479587646274,0.4629452306250651,0.6657693968744683,0.8035404267780216,-0.9343472546446364,0.8139734837185002,0.795582504114756,0.4379425845933585,-0.9198174484566607,0.901528317701706,-0.5406362763234052,-0.8231772366213498,0.9144713214725195,0.8890734910194051,0.9352948582480435,0.07690689055753354,-0.9138820396495393,0.05600449335690301,0.2233092719175243,0.5592135342255988,0.9275341145880462,0.0802974603219059,1.0,0.9277752470887329,0.2458364218029125,0.6090121091077333,-0.3438366995306922
CPI afgeleid | 2015 = 100,-0.16182252389871485,-0.03904412808049037,0.004274316676091596,-0.027240819742668787,0.6029943635561882,0.5238830061663057,-0.0005108272637379311,0.5934863296984003,0.34296424590844926,0.5234493681300415,-0.7970883782952071,0.5384742049525535,0.5786821952266054,0.0849852192786805,-0.7749807568564219,0.6845197083204192,-0.2989223540896181,-0.7093145560104338,0.7977781916299352,0.7242294053318314,0.7971427751033885,0.008129643778550995,-0.7825617505976108,0.00703595365753223,0.27307408141613815,0.504041226173489,0.8399041374798859,-0.024393999772639754,0.9277752470887329,1.0,0.4102029648353591,0.5054527239845901,-0.5089522886506589
Jaarmutatie CPI afgeleid | %,-0.031925364659701194,-0.0077184489957255464,0.023236253471428304,-0.08241742619426948,0.36261190670306914,0.31230578899061034,-0.02305770209212151,0.3737369128809791,-0.14737185685774698,-0.09109559479616265,-0.16920753228176924,-0.08575860468246813,0.33567711584072446,-0.20835773170666727,-0.16337191862781983,0.004961432515493985,-0.006750735580391722,-0.14343658597391062,0.06030333049400423,0.04812397910922979,0.006932428054563901,-0.2823395006019226,-0.08473826836933042,-0.4480455683691965,0.016518911022941014,-0.019449548506657022,0.16924301779321663,-0.47489760516879553,0.2458364218029125,0.4102029648353591,1.0,0.020763424504555178,-0.33112419059723885
Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,-0.2705884871212258,-0.015646221770675615,0.04810011510336722,-0.010735476487630806,0.4941851562044992,0.38579096205602603,-0.016929109527337054,0.5090847915079708,0.5431009702576531,0.5906299311789662,-0.725371159042537,0.5934254332979014,0.5114509621766984,0.4405290410480715,-0.5595503649640418,0.5723585233223715,-0.20735798479236592,-0.8524317678506564,0.4839390370742136,0.4478434696254089,0.5000642388872998,0.19743256636658316,-0.515282433712523,-0.04213899254331743,-0.15909036211624625,0.3873785925323198,0.5101059345670304,0.012429183383499586,0.6090121091077333,0.5054527239845901,0.020763424504555178,1.0,-0.4046140710448122
Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product,0.07456215186890101,0.08348630643845609,0.01860673903971247,0.0640046770525831,-0.6050225963993174,-0.509689178327496,0.030412374232428867,-0.6007307403989323,0.07891275692758186,0.023142299562014024,0.36458610001728536,0.01802544018486586,-0.038854611233452546,0.14448594675583476,0.32087739781412355,-0.1213889173037913,0.08077730609998394,0.3398098668179804,-0.2553252996568171,-0.22913586522026766,-0.18879903874956647,0.18696708430015585,0.18068343324095706,0.3033856566221745,0.01782661473772034,-0.26319957710664027,-0.11279261091241517,0.36848713676460915,-0.3438366995306922,-0.5089522886506589,-0.33112419059723885,-0.4046140710448122,1.0
