,yhat,ds,trend,daily,weekly,yearly,train,dailyMeanWindspeed-60days,NAO-60days,sic-60days,loadConsumption-60days-24h,loadConsumption-60days-12m,avgElectricityPrice-60days,dailyMeanTemperature-60days,nat-60days,winterIndex,test,loadConsumption-60days-7days,loadConsumption-60days,avgGasPrice-60days,geopotential-60days,renewableEnergyRatio-60days,dailyPrecipitation-60days,loadConsumption
7847,10859.163456986062,2012-10-23 00:00:00,11328.885270304258,-2220.323822086444,920.9368539723083,-716.8168003482068,False,2.0,-0.98,5708.069429401404,10453.0,11862.0,0.09775,18.4,0.4685504710932277,4.0,True,10539.0,10426.0,1.03,7792560.92242653,4.66,5.8,10190.0
7848,10261.220756836212,2012-10-23 01:00:00,11328.883365141892,-2982.938998576727,925.6563117344433,-715.6775765479131,False,2.0,-0.98,5708.069429401404,9814.0,10825.0,0.09775,18.4,0.4685504710932277,4.0,True,9875.0,9828.0,1.03,7792560.92242653,4.66,5.8,9564.0
7849,9794.7566502985,2012-10-23 02:00:00,11328.881459979526,-3534.2853504245395,926.4599137911514,-714.53627454993,False,2.0,-0.98,5708.069429401404,9506.0,10223.0,0.09775,18.4,0.4685504710932277,4.0,True,9574.0,9528.0,1.03,7792560.92242653,4.66,5.8,9267.0
7850,9516.290835129828,2012-10-23 03:00:00,11328.879554817162,-3850.57497111362,923.6827055094827,-713.3929067477395,False,2.0,-0.98,5708.069429401404,9386.0,9907.0,0.09775,18.4,0.4685504710932277,4.0,True,9452.0,9442.0,1.03,7792560.92242653,4.66,5.8,9211.0
7851,9541.772641934074,2012-10-23 04:00:00,11328.877649654796,-3834.0837218450038,917.6752050411557,-712.2474855555872,False,2.0,-0.98,5708.069429401404,9376.0,9776.0,0.09775,18.4,0.4685504710932277,4.0,True,9420.0,9434.0,1.03,7792560.92242653,4.66,5.8,9269.0
7852,10008.318580888232,2012-10-23 05:00:00,11328.875744492432,-3334.295707614015,908.7988922502136,-711.100023408748,False,2.0,-0.98,5708.069429401404,9671.0,9774.0,0.09775,18.4,0.4685504710932277,4.0,True,9635.0,9742.0,1.03,7792560.92242653,4.66,5.8,9600.0
7853,10942.736002343407,2012-10-23 06:00:00,11328.873839330066,-2285.336334027233,897.4217016005653,-709.950532762676,False,2.0,-0.98,5708.069429401404,10570.0,10073.0,0.09775,18.4,0.4685504710932277,4.0,True,10307.0,10598.0,1.03,7792560.92242653,4.66,5.8,10883.0
7854,12145.025238823686,2012-10-23 07:00:00,11328.871934167702,-840.7667260329605,883.9135730746495,-708.799026092466,False,2.0,-0.98,5708.069429401404,12035.0,10929.0,0.09775,18.4,0.4685504710932277,4.0,True,11716.0,12032.0,1.03,7792560.92242653,4.66,5.8,12993.0
7855,13311.52634243269,2012-10-23 08:00:00,11328.870029005335,636.2207461391469,868.6421139523028,-707.6455158922217,False,2.0,-0.98,5708.069429401404,13484.0,12443.0,0.09775,18.4,0.4685504710932277,4.0,True,13268.0,13535.0,1.03,7792560.92242653,4.66,5.8,14285.0
7856,14182.269685572204,2012-10-23 09:00:00,11328.86812384297,1752.4096418846325,851.9684219407278,-706.4900146749379,False,2.0,-0.98,5708.069429401404,14328.0,13995.0,0.09775,18.4,0.4685504710932277,4.0,True,14203.0,14377.0,1.03,7792560.92242653,4.66,5.8,14808.0
7857,14602.225703984257,2012-10-23 10:00:00,11328.866218680605,2306.28960630624,834.2431175499986,-705.3325349717805,False,2.0,-0.98,5708.069429401404,14674.0,14851.0,0.09775,18.4,0.4685504710932277,4.0,True,14640.0,14677.0,1.03,7792560.92242653,4.66,5.8,14841.0
7858,14599.647302188494,2012-10-23 11:00:00,11328.864313518241,2379.0846192448994,815.8026302907156,-704.1730893312595,False,2.0,-0.98,5708.069429401404,14826.0,15255.0,0.09775,18.4,0.4685504710932277,4.0,True,14879.0,14886.0,1.03,7792560.92242653,4.66,5.8,14867.0
7859,14429.968848732286,2012-10-23 12:00:00,11328.862408355875,2230.1503347029848,796.9657794073257,-703.0116903194797,False,2.0,-0.98,5708.069429401404,14719.0,15469.0,0.09775,18.4,0.4685504710932277,4.0,True,14749.0,14750.0,1.03,7792560.92242653,4.66,5.8,14681.0
7860,14282.290798162063,2012-10-23 13:00:00,11328.860503193511,2094.5612413604194,778.0306856082017,-701.8483505186312,False,2.0,-0.98,5708.069429401404,14824.0,15344.0,0.09775,18.4,0.4685504710932277,4.0,True,14772.0,14725.0,1.03,7792560.92242653,4.66,5.8,14713.0
7861,14221.213780075579,2012-10-23 14:00:00,11328.858598031145,2050.125785680459,759.2720454902135,-700.6830825273138,False,2.0,-0.98,5708.069429401404,14756.0,15516.0,0.09775,18.4,0.4685504710932277,4.0,True,14629.0,14638.0,1.03,7792560.92242653,4.66,5.8,14534.0
7862,14222.236731633486,2012-10-23 15:00:00,11328.85669286878,2039.8701929175206,740.9387953206017,-699.5158989597038,False,2.0,-0.98,5708.069429401404,14568.0,15503.0,0.09775,18.4,0.4685504710932277,4.0,True,14377.0,14429.0,1.03,7792560.92242653,4.66,5.8,14382.0
7863,14188.724533774486,2012-10-23 16:00:00,11328.854787706416,1989.1854907485895,723.2521854263684,-698.3468124447353,False,2.0,-0.98,5708.069429401404,14417.0,15371.0,0.09775,18.4,0.4685504710932277,4.0,True,14162.0,14200.0,1.03,7792560.92242653,4.66,5.8,14327.0
7864,14097.204010276762,2012-10-23 17:00:00,11328.85288254405,1885.1606550574652,706.4042809102809,-697.1758356261804,False,2.0,-0.98,5708.069429401404,14202.0,15238.0,0.09775,18.4,0.4685504710932277,4.0,True,14020.0,14015.0,1.03,7792560.92242653,4.66,5.8,14378.0
7865,14034.6855327784,2012-10-23 18:00:00,11328.850977381686,1748.701789804549,690.5568986206205,-696.0029811615467,False,2.0,-0.98,5708.069429401404,13473.0,14986.0,0.09775,18.4,0.4685504710932277,4.0,True,13443.0,13372.0,1.03,7792560.92242653,4.66,5.8,14275.0
7866,13944.23760888835,2012-10-23 19:00:00,11328.849072219318,1553.2486053557052,675.8409845536329,-694.828261721982,False,2.0,-0.98,5708.069429401404,12996.0,14280.0,0.09775,18.4,0.4685504710932277,4.0,True,12891.0,12949.0,1.03,7792560.92242653,4.66,5.8,14756.0
7867,13658.00404318515,2012-10-23 20:00:00,11328.847167056954,1198.8509723539091,662.356430018225,-693.6516899915177,False,2.0,-0.98,5708.069429401404,12823.0,13846.0,0.09775,18.4,0.4685504710932277,4.0,True,12453.0,12850.0,1.03,7792560.92242653,4.66,5.8,14103.0
7868,13036.442296662084,2012-10-23 21:00:00,11328.845261894588,585.1031678853308,650.1723191890017,-692.4732786665677,False,2.0,-0.98,5708.069429401404,12932.0,13772.0,0.09775,18.4,0.4685504710932277,4.0,True,12452.0,12644.0,1.03,7792560.92242653,4.66,5.8,13244.0
7869,12231.510119988487,2012-10-23 22:00:00,11328.843356732224,-285.4954973710172,639.32759508629,-691.2930404554323,False,2.0,-0.98,5708.069429401404,12110.0,13687.0,0.09775,18.4,0.4685504710932277,4.0,True,11888.0,11877.0,1.03,7792560.92242653,4.66,5.8,12174.0
7870,11365.321786505201,2012-10-23 23:00:00,11328.841451569859,-1280.8617204540305,629.8321256603616,-690.1109880776788,False,2.0,-0.98,5708.069429401404,11416.0,12752.0,0.09775,18.4,0.4685504710932277,4.0,True,11372.0,11300.0,1.03,7792560.92242653,4.66,5.8,11181.0
7871,10622.434182887146,2012-10-24 00:00:00,11328.839546407495,-2220.323822098085,621.6681466112832,-688.9271342640313,False,5.0,-0.98,5692.315967721341,10426.0,11947.0,0.09775,17.7,0.4685504710932277,4.0,True,10515.0,10371.0,1.03,7792560.92242653,4.66,2.0,10142.0
7872,9996.088696065199,2012-10-24 01:00:00,11328.837641245129,-2982.938998587139,614.7920527955274,-687.7414917550087,False,5.0,-0.98,5692.315967721341,9828.0,11078.0,0.09775,17.7,0.4685504710932277,4.0,True,9871.0,9619.0,1.03,7792560.92242653,4.66,2.0,9551.0
7873,9540.958582944588,2012-10-24 02:00:00,11328.835736082765,-3534.285350433766,609.1365058494524,-686.5540733012259,False,5.0,-0.98,5692.315967721341,9528.0,10413.0,0.09775,17.7,0.4685504710932277,4.0,True,9434.0,9232.0,1.03,7792560.92242653,4.66,2.0,9264.0
7874,9278.271862233425,2012-10-24 03:00:00,11328.8338309204,-3850.5749711196477,604.6128217276089,-685.3648916623932,False,5.0,-0.98,5692.315967721341,9442.0,10040.0,0.09775,17.7,0.4685504710932277,4.0,True,9167.0,9022.0,1.03,7792560.92242653,4.66,2.0,9132.0
7875,9316.61738104082,2012-10-24 04:00:00,11328.831925758033,-3834.083721843681,601.1135985889401,-684.1739596070536,False,5.0,-0.98,5692.315967721341,9434.0,9879.0,0.09775,17.7,0.4685504710932277,4.0,True,9050.0,8934.0,1.03,7792560.92242653,4.66,2.0,9194.0
7876,9813.578925987627,2012-10-24 05:00:00,11328.830020595668,-3334.295707600038,598.5155426478386,-682.9812899115769,False,5.0,-0.98,5692.315967721341,9742.0,9827.0,0.09775,17.7,0.4685504710932277,4.0,True,9045.0,8975.0,1.03,7792560.92242653,4.66,2.0,9560.0
7877,10819.748823855127,2012-10-24 06:00:00,11328.828115433302,-2285.3363340118904,596.6824474263842,-681.7868953602416,False,5.0,-0.98,5692.315967721341,10598.0,10076.0,0.09775,17.7,0.4685504710932277,4.0,True,9099.0,9139.0,1.03,7792560.92242653,4.66,2.0,10818.0
7878,12109.876238011071,2012-10-24 07:00:00,11328.826210270938,-840.766726004633,595.4682802678645,-680.590788744263,False,5.0,-0.98,5692.315967721341,12032.0,10915.0,0.09775,17.7,0.4685504710932277,4.0,True,9713.0,9638.0,1.03,7792560.92242653,4.66,2.0,12904.0
7879,13318.96462745406,2012-10-24 08:00:00,11328.824305108572,636.2207461638784,594.72032899859,-679.3929828613569,False,5.0,-0.98,5692.315967721341,13535.0,12610.0,0.09775,17.7,0.4685504710932277,4.0,True,10794.0,10651.0,1.03,7792560.92242653,4.66,2.0,14337.0
7880,14178.106978776073,2012-10-24 09:00:00,11328.822399946208,1752.4096418988975,594.282361358937,-678.1934905155581,False,5.0,-0.98,5692.315967721341,14377.0,14386.0,0.09775,17.7,0.4685504710932277,4.0,True,11837.0,11675.0,1.03,7792560.92242653,4.66,2.0,14810.0
7881,14601.153000813863,2012-10-24 10:00:00,11328.820494783842,2306.28960631671,593.9977500848379,-676.9923245158616,False,5.0,-0.98,5692.315967721341,14677.0,15406.0,0.09775,17.7,0.4685504710932277,4.0,True,12303.0,12197.0,1.03,7792560.92242653,4.66,2.0,15002.0
7882,14624.008368894149,2012-10-24 11:00:00,11328.818589621478,2379.0846192403123,593.7125175694895,-675.7894976763084,False,5.0,-0.98,5692.315967721341,14886.0,15768.0,0.09775,17.7,0.4685504710932277,4.0,True,12489.0,12372.0,1.03,7792560.92242653,4.66,2.0,15065.0
7883,14469.291128528792,2012-10-24 12:00:00,11328.816684459112,2230.1503346976633,593.2782555172109,-674.5850228156274,False,5.0,-0.98,5692.315967721341,14750.0,15967.0,0.09775,17.7,0.4685504710932277,4.0,True,12415.0,12269.0,1.03,7792560.92242653,4.66,2.0,14923.0
7884,14350.033297540293,2012-10-24 13:00:00,11328.814779296748,2094.5612413585695,592.5548772773078,-673.3789127561142,False,5.0,-0.98,5692.315967721341,14725.0,15890.0,0.09775,17.7,0.4685504710932277,4.0,True,12314.0,12083.0,1.03,7792560.92242653,4.66,2.0,14972.0
7885,14325.694341667138,2012-10-24 14:00:00,11328.812874134383,2050.125785682224,591.4131632226077,-672.1711803232988,False,5.0,-0.98,5692.315967721341,14638.0,15885.0,0.09775,17.7,0.4685504710932277,4.0,True,12122.0,11892.0,1.03,7792560.92242653,4.66,2.0,14827.0
7886,14353.194004579518,2012-10-24 15:00:00,11328.810968972019,2039.8701929203298,589.7370628114583,-670.9618383456807,False,5.0,-0.98,5692.315967721341,14429.0,15643.0,0.09775,17.7,0.4685504710932277,4.0,True,11965.0,11677.0,1.03,7792560.92242653,4.66,2.0,14731.0
7887,14337.103837590494,2012-10-24 16:00:00,11328.809063809651,1989.1854907517468,587.4257207508415,-669.7508996536124,False,5.0,-0.98,5692.315967721341,14200.0,15272.0,0.09775,17.7,0.4685504710932277,4.0,True,11952.0,11615.0,1.03,7792560.92242653,4.66,2.0,14720.0
7888,14262.02341788968,2012-10-24 17:00:00,11328.807158647285,1885.1606550542674,584.3951988265283,-668.5383770794061,False,5.0,-0.98,5692.315967721341,14015.0,14983.0,0.09775,17.7,0.4685504710932277,4.0,True,11920.0,11784.0,1.03,7792560.92242653,4.66,2.0,14881.0
7889,14154.095091299496,2012-10-24 18:00:00,11328.805253484921,1748.7017898079066,580.5798695352298,-667.3242834564179,False,5.0,-0.98,5692.315967721341,13372.0,14720.0,0.09775,17.7,0.4685504710932277,4.0,True,11950.0,11699.0,1.03,7792560.92242653,4.66,2.0,14859.0
7890,14038.43843055225,2012-10-24 19:00:00,11328.803348322555,1553.2486053656714,575.9334625117642,-666.1086316185058,False,5.0,-0.98,5692.315967721341,12949.0,14051.0,0.09775,17.7,0.4685504710932277,4.0,True,11726.0,11386.0,1.03,7792560.92242653,4.66,2.0,14943.0
7891,13727.434946029072,2012-10-24 20:00:00,11328.801443160191,1198.8509723436155,570.4297498562116,-664.8914343994624,False,5.0,-0.98,5692.315967721341,12850.0,13682.0,0.09775,17.7,0.4685504710932277,4.0,True,11558.0,11279.0,1.03,7792560.92242653,4.66,2.0,14182.0
7892,13109.570795783415,2012-10-24 21:00:00,11328.799537997826,585.1031679148812,564.0628617630514,-663.6727046327792,False,5.0,-0.98,5692.315967721341,12644.0,13466.0,0.09775,17.7,0.4685504710932277,4.0,True,11779.0,11484.0,1.03,7792560.92242653,4.66,2.0,13318.0
7893,12289.484258893379,2012-10-24 22:00:00,11328.797632835462,-285.49549733329803,556.8472292325952,-662.4524551506266,False,5.0,-0.98,5692.315967721341,11877.0,13210.0,0.09775,17.7,0.4685504710932277,4.0,True,11554.0,11055.0,1.03,7792560.92242653,4.66,2.0,12165.0
7894,11421.530328053934,2012-10-24 23:00:00,11328.795727673096,-1280.8617204150453,548.8171561004767,-661.230698783576,False,5.0,-0.98,5692.315967721341,11300.0,12350.0,0.09775,17.7,0.4685504710932277,4.0,True,10982.0,10409.0,1.03,7792560.92242653,4.66,2.0,11296.0
7895,10532.987819958851,2012-10-25 00:00:00,11328.793822510732,-2220.3238220642925,540.0260279993732,-660.0074483602624,False,3.6,-0.98,5681.001356337735,10371.0,11751.0,0.09775,16.0,0.4685504710932277,4.0,True,10294.0,9697.0,1.03,7792560.92242653,4.66,21.9,10272.0
7896,9906.937846986399,2012-10-25 01:00:00,11328.791917348366,-2982.9389985613598,530.5451711565626,-658.7827167062625,False,3.6,-0.98,5681.001356337735,9619.0,10785.0,0.09775,16.0,0.4685504710932277,4.0,True,9740.0,9116.0,1.03,7792560.92242653,4.66,21.9,9618.0
7897,9453.656531414788,2012-10-25 02:00:00,11328.790012186002,-3534.2853504164436,520.4623790258383,-657.5565166441435,False,3.6,-0.98,5681.001356337735,9232.0,10037.0,0.09775,16.0,0.4685504710932277,4.0,True,9327.0,8751.0,1.03,7792560.92242653,4.66,21.9,9334.0
7898,9185.170462853734,2012-10-25 03:00:00,11328.788107023634,-3850.5749711128447,509.88012964841516,-656.3288609924593,False,3.6,-0.98,5681.001356337735,9022.0,9597.0,0.09775,16.0,0.4685504710932277,4.0,True,9143.0,8627.0,1.03,7792560.92242653,4.66,21.9,9222.0
7899,9226.727359196208,2012-10-25 04:00:00,11328.78620186127,-3834.0837218423594,498.9135211076334,-655.0997625655373,False,3.6,-0.98,5681.001356337735,8934.0,9321.0,0.09775,16.0,0.4685504710932277,4.0,True,9029.0,8541.0,1.03,7792560.92242653,4.66,21.9,9256.0
7900,9731.219337194632,2012-10-25 05:00:00,11328.784296698905,-3334.295707630541,487.68795669481017,-653.869234172739,False,3.6,-0.98,5681.001356337735,8975.0,9233.0,0.09775,16.0,0.4685504710932277,4.0,True,8941.0,8522.0,1.03,7792560.92242653,4.66,21.9,9628.0
