Date,nat,Year,Month,Day,Hour,Minute
1982-05-03,-0.44317509122057985,1982,5,3,0,0
1982-05-04,-0.44317509122057985,1982,5,4,0,0
1982-05-05,-0.44317509122057985,1982,5,5,0,0
1982-05-06,-0.44317509122057985,1982,5,6,0,0
1982-05-07,-0.44317509122057985,1982,5,7,0,0
1982-05-08,-0.44317509122057985,1982,5,8,0,0
1982-05-09,-0.44317509122057985,1982,5,9,0,0
1982-05-10,-0.18087451004440694,1982,5,10,0,0
1982-05-11,-0.18087451004440694,1982,5,11,0,0
1982-05-12,-0.18087451004440694,1982,5,12,0,0
1982-05-13,-0.18087451004440694,1982,5,13,0,0
1982-05-14,-0.18087451004440694,1982,5,14,0,0
1982-05-15,-0.18087451004440694,1982,5,15,0,0
1982-05-16,-0.18087451004440694,1982,5,16,0,0
1982-05-17,-0.3292573146949491,1982,5,17,0,0
1982-05-18,-0.3292573146949491,1982,5,18,0,0
1982-05-19,-0.3292573146949491,1982,5,19,0,0
1982-05-20,-0.3292573146949491,1982,5,20,0,0
1982-05-21,-0.3292573146949491,1982,5,21,0,0
1982-05-22,-0.3292573146949491,1982,5,22,0,0
1982-05-23,-0.3292573146949491,1982,5,23,0,0
1982-05-24,-0.3071308054883817,1982,5,24,0,0
1982-05-25,-0.3071308054883817,1982,5,25,0,0
1982-05-26,-0.3071308054883817,1982,5,26,0,0
1982-05-27,-0.3071308054883817,1982,5,27,0,0
1982-05-28,-0.3071308054883817,1982,5,28,0,0
1982-05-29,-0.3071308054883817,1982,5,29,0,0
1982-05-30,-0.3071308054883817,1982,5,30,0,0
1982-05-31,-0.37446617595882964,1982,5,31,0,0
1982-06-01,-0.37446617595882964,1982,6,1,0,0
1982-06-02,-0.37446617595882964,1982,6,2,0,0
1982-06-03,-0.37446617595882964,1982,6,3,0,0
1982-06-04,-0.37446617595882964,1982,6,4,0,0
1982-06-05,-0.37446617595882964,1982,6,5,0,0
1982-06-06,-0.37446617595882964,1982,6,6,0,0
1982-06-07,-0.4853196478057137,1982,6,7,0,0
1982-06-08,-0.4853196478057137,1982,6,8,0,0
1982-06-09,-0.4853196478057137,1982,6,9,0,0
1982-06-10,-0.4853196478057137,1982,6,10,0,0
1982-06-11,-0.4853196478057137,1982,6,11,0,0
1982-06-12,-0.4853196478057137,1982,6,12,0,0
1982-06-13,-0.4853196478057137,1982,6,13,0,0
1982-06-14,-0.24768915596509744,1982,6,14,0,0
1982-06-15,-0.24768915596509744,1982,6,15,0,0
1982-06-16,-0.24768915596509744,1982,6,16,0,0
1982-06-17,-0.24768915596509744,1982,6,17,0,0
1982-06-18,-0.24768915596509744,1982,6,18,0,0
1982-06-19,-0.24768915596509744,1982,6,19,0,0
1982-06-20,-0.24768915596509744,1982,6,20,0,0
1982-06-21,-0.2670000966936344,1982,6,21,0,0
1982-06-22,-0.2670000966936344,1982,6,22,0,0
1982-06-23,-0.2670000966936344,1982,6,23,0,0
1982-06-24,-0.2670000966936344,1982,6,24,0,0
1982-06-25,-0.2670000966936344,1982,6,25,0,0
1982-06-26,-0.2670000966936344,1982,6,26,0,0
1982-06-27,-0.2670000966936344,1982,6,27,0,0
1982-06-28,-0.4690255908253872,1982,6,28,0,0
1982-06-29,-0.4690255908253872,1982,6,29,0,0
