Date,euro per m3,euro per m3.1,euro per m3.2,euro per kWh,euro per kWh.1,euro per kWh.2,Year,Month,Day,Hour,Minute
2018-03-01,0.658,0.558,0.226,0.141,0.087,0.054,2018,3,1,0,0
2018-04-01,0.658,0.558,0.226,0.141,0.087,0.054,2018,4,1,0,0
2018-05-01,0.658,0.558,0.226,0.141,0.087,0.054,2018,5,1,0,0
2018-06-01,0.658,0.558,0.226,0.141,0.087,0.054,2018,6,1,0,0
2018-07-01,0.682,0.548,0.255,0.134,0.081,0.058,2018,7,1,0,0
2018-08-01,0.682,0.548,0.255,0.134,0.081,0.058,2018,8,1,0,0
2018-09-01,0.682,0.548,0.255,0.134,0.081,0.058,2018,9,1,0,0
2018-10-01,0.682,0.548,0.255,0.134,0.081,0.058,2018,10,1,0,0
2018-11-01,0.682,0.548,0.255,0.134,0.081,0.058,2018,11,1,0,0
2018-12-01,0.682,0.548,0.255,0.134,0.081,0.058,2018,12,1,0,0
2019-01-01,0.745,0.623,0.218,0.171,0.094,0.06,2019,1,1,0,0
2019-02-01,0.745,0.623,0.218,0.171,0.094,0.06,2019,2,1,0,0
2019-03-01,0.745,0.623,0.218,0.171,0.094,0.06,2019,3,1,0,0
2019-04-01,0.745,0.623,0.218,0.171,0.094,0.06,2019,4,1,0,0
2019-05-01,0.745,0.623,0.218,0.171,0.094,0.06,2019,5,1,0,0
2019-06-01,0.745,0.623,0.218,0.171,0.094,0.06,2019,6,1,0,0
2019-07-01,0.779,0.574,0.159,0.17,0.09,0.058,2019,7,1,0,0
2019-08-01,0.779,0.574,0.159,0.17,0.09,0.058,2019,8,1,0,0
2019-09-01,0.779,0.574,0.159,0.17,0.09,0.058,2019,9,1,0,0
2019-10-01,0.779,0.574,0.159,0.17,0.09,0.058,2019,10,1,0,0
2019-11-01,0.779,0.574,0.159,0.17,0.09,0.058,2019,11,1,0,0
2019-12-01,0.779,0.574,0.159,0.17,0.09,0.058,2019,12,1,0,0
2020-01-01,0.809,0.664,0.185,0.121,0.106,0.068,2020,1,1,0,0
2020-02-01,0.809,0.664,0.185,0.121,0.106,0.068,2020,2,1,0,0
2020-03-01,0.809,0.664,0.185,0.121,0.106,0.068,2020,3,1,0,0
2020-04-01,0.809,0.664,0.185,0.121,0.106,0.068,2020,4,1,0,0
2020-05-01,0.809,0.664,0.185,0.121,0.106,0.068,2020,5,1,0,0
2020-06-01,0.809,0.664,0.185,0.121,0.106,0.068,2020,6,1,0,0
2020-07-01,0.816,0.666,0.182,0.113,0.103,0.058,2020,7,1,0,0
2020-08-01,0.816,0.666,0.182,0.113,0.103,0.058,2020,8,1,0,0
2020-09-01,0.816,0.666,0.182,0.113,0.103,0.058,2020,9,1,0,0
2020-10-01,0.816,0.666,0.182,0.113,0.103,0.058,2020,10,1,0,0
2020-11-01,0.816,0.666,0.182,0.113,0.103,0.058,2020,11,1,0,0
2020-12-01,0.816,0.666,0.182,0.113,0.103,0.058,2020,12,1,0,0
2021-01-01,0.776,0.676,0.249,0.106,0.113,0.068,2021,1,1,0,0
2021-02-01,0.776,0.676,0.249,0.106,0.113,0.068,2021,2,1,0,0
2021-03-01,0.776,0.676,0.249,0.106,0.113,0.068,2021,3,1,0,0
2021-04-01,0.776,0.676,0.249,0.106,0.113,0.068,2021,4,1,0,0
2021-05-01,0.776,0.676,0.249,0.106,0.113,0.068,2021,5,1,0,0
2021-06-01,0.776,0.676,0.249,0.106,0.113,0.068,2021,6,1,0,0
2021-07-01,0.885,0.73,0.507,0.12,0.124,0.105,2021,7,1,0,0
2021-08-01,0.885,0.73,0.507,0.12,0.124,0.105,2021,8,1,0,0
2021-09-01,0.885,0.73,0.507,0.12,0.124,0.105,2021,9,1,0,0
2021-10-01,0.885,0.73,0.507,0.12,0.124,0.105,2021,10,1,0,0
2021-11-01,0.885,0.73,0.507,0.12,0.124,0.105,2021,11,1,0,0
2021-12-01,0.885,0.73,0.507,0.12,0.124,0.105,2021,12,1,0,0
2022-01-01,1.045,0.886,0.799,0.049,0.172,0.153,2022,1,1,0,0
2022-02-01,1.045,0.886,0.799,0.049,0.172,0.153,2022,2,1,0,0
2022-03-01,1.045,0.886,0.799,0.049,0.172,0.153,2022,3,1,0,0
2022-04-01,1.045,0.886,0.799,0.049,0.172,0.153,2022,4,1,0,0
2022-05-01,1.045,0.886,0.799,0.049,0.172,0.153,2022,5,1,0,0
