fold,train_start,train_end,test_start,test_end,rmse,mape,pcc,prophet_baseline_mape,stacked_rmse,stacked_mape,stacked_pcc,selected_features,forecast_features,prophet_config
2,2019-01-01,2021-11-01,2022-01-01,2022-12-31,2295.086,25.340232253074646,-0.1709570979881298,15.296975674332048,1868.8621801969125,13.953026506579302,0.19940861365468893,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'yearly', 'weekly', 'Month', 'Week', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid', 'Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Goederen', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Verandering in voorraden', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Totaal', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Huishoudens']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
2,2019-01-01,2021-11-01,2022-01-01,2022-12-31,2415.8047,24.335096776485443,-0.17924135606424188,15.296975674332048,1866.4245913232546,13.94030817946754,0.20558955854372396,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'yearly', 'weekly', 'Month', 'Week', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid', 'Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Invoer van goederen en diensten|Goederen', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Verandering in voorraden', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Totaal', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Huishoudens']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
4,2019-01-01,2023-11-01,2024-01-01,2024-11-01,1936.7958,13.078714907169342,0.36349724790067933,11.441041728592898,1654.8471817215905,10.125436244511432,0.43545686397792627,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'yearly', 'weekly', 'euro per kWh', 'Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder', 'trend', 'Month', 'Jaarmutatie CPI afgeleid | %', 'Week', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
3,2019-01-01,2022-11-01,2023-01-01,2023-12-31,2040.6887,12.296143174171448,0.21001448131413167,14.247090162336177,1875.9471156414827,11.825794550737669,0.3313127638970488,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'yearly', 'weekly', 'Werkloze beroepsbevolking|Seizoengecorrigeerd', 'euro per kWh', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Verandering in voorraden', 'Month', 'Year', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Huishoudens']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
3,2019-01-01,2022-11-01,2023-01-01,2023-12-31,1904.4812,11.16870567202568,0.3758665559917787,14.247090162336177,1705.3385567579273,10.915620503761001,0.514130130338426,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'yearly', 'weekly', 'Werkloze beroepsbevolking|Seizoengecorrigeerd', 'euro per kWh', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Verandering in voorraden', 'Month', 'Year', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Huishoudens']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
4,2019-01-01,2023-11-01,2024-01-01,2024-11-01,1944.7411,15.39037972688675,0.2666322674554446,11.441041728592898,1675.7338454817148,10.377913097316176,0.4111413635150418,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'yearly', 'weekly', 'euro per kWh', 'Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder', 'trend', 'Month', 'Jaarmutatie CPI afgeleid | %', 'Week', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
4,2019-01-01,2023-11-01,2024-01-01,2024-11-01,2218.2632,17.278172075748444,0.035012400256117765,11.441041728592898,1668.8021170029995,10.572436917890405,0.4194014929749636,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'yearly', 'weekly', 'euro per kWh', 'Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder', 'trend', 'Month', 'Jaarmutatie CPI afgeleid | %', 'Week', 'Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
1,2010-01-01,2011-11-28,2012-01-01,2012-12-31,2041.899,14.604845643043518,0.5565397417863727,17.633564839860913,1856.38693389819,12.592959100440012,0.6416061366959345,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'trend', 'Month', 'Week', 'Werkzame beroepsbevolking|Seizoengecorrigeerd', 'euro per m3.1', 'euro per kWh.1', 'yearly', 'Natural gas, US | ($/mmbtu)']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
1,2010-01-01,2011-11-28,2012-01-01,2012-12-31,2187.5583,16.499602794647217,0.38061530914041397,17.633564839860913,2079.731930303077,14.501478109458132,0.5114426157672927,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'trend', 'Month', 'Week', 'Werkzame beroepsbevolking|Seizoengecorrigeerd', 'euro per m3.1', 'euro per kWh.1', 'yearly', 'Natural gas, US | ($/mmbtu)']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
1,2010-01-01,2011-11-28,2012-01-01,2012-12-31,2429.6274,15.856154263019562,0.4463150800421793,17.633564839860913,2091.8508505432915,14.350740987995694,0.5029340162432104,"['DailyPrecipitation', 'MaxHourlyPrecipitation', 'HDMaxPrecipitation', 'DailyMeanTemperature', 'HourlyMinTemperature', 'HDMinTemperature', 'HourlyMaxTemperature', 'yhat', 'weekly', 'trend', 'Month', 'Week', 'Werkzame beroepsbevolking|Seizoengecorrigeerd', 'euro per m3.1', 'euro per kWh.1', 'yearly', 'Natural gas, US | ($/mmbtu)']","['yhat', 'trend', 'weekly', 'yearly']","{'advanced': True, 'multiplicative': True, 'n_features_used': 17}"
