"Consumentenprijzen; prijsindex 2015=100"
"Bestedingscategorieën: 000000 Alle bestedingen"
"";"Onderwerp"
"";"CPI";"CPI afgeleid";"Jaarmutatie CPI";"Jaarmutatie CPI afgeleid"
"Perioden";"2015 = 100";"2015 = 100";"%";"%"
"2008 april";"89,42";"92,02";"2,0";"1,9"
"2008 mei";"89,74";"92,34";"2,3";"2,1"
"2008 juni";"89,58";"92,17";"2,6";"2,4"
"2008 juli";"89,72";"92,26";"3,2";"3,0"
"2008 augustus";"89,89";"92,44";"3,2";"3,0"
"2008 september";"90,28";"92,84";"3,1";"2,8"
"2008 oktober";"90,07";"92,62";"2,8";"2,5"
"2008 november";"89,74";"92,14";"2,3";"1,8"
"2008 december";"89,09";"91,44";"1,9";"1,5"
"2008";"89,37";"91,92";"2,5";"2,2"
"2009 januari";"89,32";"91,54";"1,9";"1,4"
"2009 februari";"89,95";"92,19";"2,0";"1,5"
"2009 maart";"90,85";"93,11";"2,0";"1,5"
"2009 april";"91,05";"93,31";"1,8";"1,4"
"2009 mei";"91,17";"93,45";"1,6";"1,2"
"2009 juni";"90,85";"93,14";"1,4";"1,1"
"2009 juli";"89,89";"92,16";"0,2";"-0,1"
"2009 augustus";"90,14";"92,41";"0,3";"0,0"
"2009 september";"90,62";"92,91";"0,4";"0,1"
"2009 oktober";"90,70";"93,00";"0,7";"0,4"
"2009 november";"90,61";"92,90";"1,0";"0,8"
"2009 december";"90,08";"92,37";"1,1";"1,0"
"2009";"90,44";"92,71";"1,2";"0,9"
"2010 januari";"90,05";"92,15";"0,8";"0,7"
"2010 februari";"90,69";"92,80";"0,8";"0,7"
"2010 maart";"91,77";"93,90";"1,0";"0,8"
"2010 april";"92,08";"94,20";"1,1";"1,0"
"2010 mei";"92,04";"94,15";"1,0";"0,7"
"2010 juni";"91,60";"93,70";"0,8";"0,6"
"2010 juli";"91,34";"93,44";"1,6";"1,4"
"2010 augustus";"91,48";"93,58";"1,5";"1,3"
"2010 september";"92,05";"94,17";"1,6";"1,4"
"2010 oktober";"92,13";"94,27";"1,6";"1,4"
"2010 november";"92,02";"94,16";"1,6";"1,4"
"2010 december";"91,82";"93,96";"1,9";"1,7"
"2010";"91,59";"93,71";"1,3";"1,1"
"2011 januari";"91,72";"93,80";"1,9";"1,8"
"2011 februari";"92,41";"94,50";"1,9";"1,8"
"2011 maart";"93,46";"95,54";"1,8";"1,7"
"2011 april";"93,96";"96,01";"2,0";"1,9"
"2011 mei";"94,03";"96,05";"2,2";"2,0"
"2011 juni";"93,57";"95,58";"2,2";"2,0"
"2011 juli";"94,04";"96,00";"3,0";"2,7"
"2011 augustus";"94,19";"96,15";"3,0";"2,7"
"2011 september";"94,53";"96,48";"2,7";"2,5"
"2011 oktober";"94,57";"96,52";"2,6";"2,4"
"2011 november";"94,28";"96,23";"2,5";"2,2"
"2011 december";"94,04";"95,98";"2,4";"2,1"
"2011";"93,73";"95,74";"2,3";"2,2"
"2012 januari";"93,99";"95,83";"2,5";"2,2"
"2012 februari";"94,70";"96,55";"2,5";"2,2"
"2012 maart";"95,78";"97,66";"2,5";"2,2"
"2012 april";"96,17";"98,06";"2,4";"2,1"
"2012 mei";"96,03";"97,91";"2,1";"1,9"
"2012 juni";"95,57";"97,44";"2,1";"1,9"
"2012 juli";"96,20";"98,02";"2,3";"2,1"
"2012 augustus";"96,32";"98,15";"2,3";"2,1"
"2012 september";"96,72";"98,55";"2,3";"2,1"
"2012 oktober";"97,29";"98,43";"2,9";"2,0"
"2012 november";"96,89";"98,03";"2,8";"1,9"
"2012 december";"96,76";"97,90";"2,9";"2,0"
"2012";"96,04";"97,71";"2,5";"2,1"
"2013 januari";"96,78";"97,35";"3,0";"1,6"
"2013 februari";"97,54";"98,09";"3,0";"1,6"
