,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,euro per m3.2,Month,Week,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Nationale finale bestedingen|Consumptieve bestedingen|Overheid,euro per kWh.1,euro per m3,nat,euro per kWh.2,"Coal, Australian | ($/mt)",euro per kWh,Beroepsbevolking|Seizoengecorrigeerd,Werkzame beroepsbevolking|Seizoengecorrigeerd,Werkloze beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI | %,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product
euro per m3,0.1771445285401351,0.0439785506859374,0.06134056899204232,0.06206147482528342,0.48771154976540293,0.5526801470787329,0.0050566133126671116,0.4077948672186678,-0.612425108884201,0.8951477713376432,0.8690179744594112,-0.0981506992493136,-0.2975463395741465,1.0,0.7654906084921025,0.04830809109488801,0.23958863374360923,-0.9707526716968126,-0.5987259678524126,-0.43992114976133156,-0.2025652547649269,-0.6463642769251073,-0.3514228525280145,-0.4833935275640587,-0.10328694235453624,0.19173421440552166,0.489930924802046,0.10186389000367449,-0.24966945101902707,0.040910588087086135,0.22130732521860058,0.7038241158993002,0.5737860137072089,-0.6011951366901422,-0.3707122205431354
nat,0.16328596484989133,-0.04494843597425187,-0.039713713528102754,-0.019198814472181757,0.4230173323839626,0.4803222271273479,0.012338429775394942,0.35975800588329687,-0.44743808479742453,0.6897855346608927,0.7023051581499434,-0.10751272226007046,-0.201963675937553,0.7654906084921025,1.0,0.009981458391839344,0.20723410378687165,-0.7495913405950124,-0.45122880262077675,-0.29851083020738145,-0.2345011909325738,-0.4931221196484463,-0.26629416318909044,-0.3533299062508388,-0.10059338235366229,0.17442829542432742,0.513089260763957,0.09479785927547854,-0.19417197258998153,0.09532051882711955,0.2351583434936532,0.6388341433963303,0.5310198352796471,-0.48895826711494733,-0.2224319964180121
euro per kWh.2,0.15501008058176297,0.024933960446110803,-0.0009632385083111369,0.06404912095328545,-0.286238847883262,-0.21513760411373498,0.044441189587832906,-0.2896463992349994,-0.8191907438124358,0.14734722590881508,0.13301751908864873,-0.4021832893729521,-0.9679666352770435,0.04830809109488801,0.009981458391839344,1.0,-0.6818792685685181,0.19290624960747582,0.5185115172834329,0.7452460267912505,-0.7461320058015942,0.6961121693337043,0.11330920670417242,0.486638218536191,0.27923003296730536,0.05837993571952358,-0.41955589646389124,0.42429008095522047,0.21955069317181966,0.17748846803874455,0.1330070545256936,-0.20685684756099082,-0.19615522846723846,0.29777677450683465,0.17747079107505087
"Coal, Australian | ($/mt)",-0.14335408790383028,0.07203132469418778,0.10863878520711406,-0.01938016796161291,0.42696817917486096,0.4021554748919977,-0.05392523715505973,0.4045395950396408,0.40210538455126466,-0.05237654331915968,-0.03194475242484134,0.7291690191228198,0.5915301491179898,0.23958863374360923,0.20723410378687165,-0.6818792685685181,1.0,-0.39926140454263986,-0.7374351674467056,-0.8278107130439709,0.47436012831250335,-0.734955350958093,-0.1604298239335616,-0.565861759199554,-0.3923092426348725,0.1619780472500867,0.5107986414643299,-0.4722008814812138,-0.3462985753310518,-0.26090976085507,-0.17955850398004122,0.19301162107440153,0.14084109034972367,-0.6646496710816615,-0.5289380725402932
euro per kWh,-0.1367618361705644,-0.03720976402963107,-0.06049030036412946,-0.04557196661437809,-0.5479113794002279,-0.5946441337790446,0.005714554835617164,-0.47022314507180135,0.40472181201884244,-0.8439443217385222,-0.8217196693381478,-0.000250009372036971,0.059636078896151655,-0.9707526716968126,-0.7495913405950124,0.19290624960747582,-0.39926140454263986,1.0,0.7127975732817585,0.6112918654204716,0.019650769744654576,0.8022842551398242,0.37246047232614055,0.5918379800021898,0.16858178288599876,-0.17432047216320545,-0.5821360175609792,0.0019159451545476408,0.2980380386998569,0.0024724576339491457,-0.18543448287231104,-0.7411321632608403,-0.610815130786556,0.6621668669295533,0.40683168679978104
Beroepsbevolking|Seizoengecorrigeerd,0.084447744823448,-0.0018422408889799816,-0.04970484429497644,0.08253965174259778,-0.7874201052018067,-0.722797357190777,0.0744522265266583,-0.7594914966040822,-0.06659392566322468,-0.31994988924396267,-0.33625024373952495,-0.583660958995091,-0.345102251185815,-0.5987259678524126,-0.45122880262077675,0.5185115172834329,-0.7374351674467056,0.7127975732817585,1.0,0.9195220700728151,-0.12798684698416843,0.7945604829174165,0.25298508661475694,0.6586524801580623,0.4554938597619496,-0.02879180101365646,-0.6537718523978201,0.09077182962659795,0.4488349551351112,-0.18369644056734993,-0.31763104724309105,-0.5762397631286152,-0.543413523836372,0.5344497585823047,0.8240600539500569
Werkzame beroepsbevolking|Seizoengecorrigeerd,0.11741777784382884,-0.03180073103793096,-0.07259879719151179,0.05794155713608122,-0.6353876642631995,-0.5819499612005862,0.062008410147416385,-0.6092449623372411,-0.33722793669220713,-0.14589176379936591,-0.15929287504248704,-0.640333734973886,-0.6017395209081113,-0.43992114976133156,-0.29851083020738145,0.7452460267912505,-0.8278107130439709,0.6112918654204716,0.9195220700728151,1.0,-0.5074382978430028,0.8595332830630984,0.09802425070282819,0.7559082361199032,0.30401162552191746,-0.055155338832924755,-0.6668789476117264,0.20948982230323773,0.28444665700956495,0.016693991686723374,-0.10060731546136652,-0.4250671475967117,-0.379011147873113,0.5934887155814543,0.6850836215020061
Werkloze beroepsbevolking|Seizoengecorrigeerd,-0.1108802874537973,0.0766504259416248,0.07498570685117058,0.03481454674137081,-0.12157825411466133,-0.11529722739708853,0.006592489130753537,-0.1260946682711769,0.706839406672608,-0.3326932428561306,-0.33453054964494994,0.33545277267337215,0.7640896710277398,-0.2025652547649269,-0.2345011909325738,-0.7461320058015942,0.47436012831250335,0.019650769744654576,-0.12798684698416843,-0.5074382978430028,1.0,-0.42949508239673223,0.2990822548381611,-0.46469490357270377,0.22666619935569923,0.07667164781857048,0.24984293063957438,-0.3333514936298915,0.2615148305315968,-0.44122161823155565,-0.43890594311363773,-0.18915912135897264,-0.2333592394314984,-0.3240101957114798,0.07720999477148503
Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,-0.0011809992846103694,-0.0018065766860084166,-0.029692071430953645,0.021306435062454967,-0.4870918852236494,-0.48255416834354725,0.03603066165531936,-0.4409008707290705,-0.1798029175838765,-0.4866611445043877,-0.48235186470759894,-0.2939752282485599,-0.5028821423892796,-0.6463642769251073,-0.4931221196484463,0.6961121693337043,-0.734955350958093,0.8022842551398242,0.7945604829174165,0.8595332830630984,-0.42949508239673223,1.0,0.42411284705174696,0.7135183709611967,0.3504723194732696,-0.14430669591633485,-0.6666680792553776,0.3993628939116916,0.408333988644455,0.19071994944588755,0.03510083326170889,-0.5403216589684373,-0.42874004332289256,0.7119827181887597,0.38873588217078686
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,-0.048231512332911446,0.11048300801992415,0.0985747336862598,0.08131856655951278,-0.16549915492657064,-0.11896257620238136,0.031164657535823398,-0.17823700672224993,0.11210515819043702,-0.5217214921793515,-0.5101345843329305,0.19814714869030092,-0.019965597183641295,-0.3514228525280145,-0.26629416318909044,0.11330920670417242,-0.1604298239335616,0.37246047232614055,0.25298508661475694,0.09802425070282819,0.2990822548381611,0.42411284705174696,1.0,0.1466912024801468,0.6782999667199212,-0.1761818350587568,-0.20113001675037137,0.39066490721769553,0.7952622152596165,-0.15778900322495926,-0.2261037400802927,-0.3739680445525886,-0.3616549614735238,0.0667169489869772,0.06391212122384415
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,0.022865659472259676,-0.048447266978383724,-0.07125344637180292,0.03272583200486344,-0.4538129120270956,-0.4340814898882255,0.015750930541660275,-0.43683744383195344,-0.1075906307888013,-0.25408520560563985,-0.25773863165186267,-0.3557564889705381,-0.34362839439806625,-0.4833935275640587,-0.3533299062508388,0.486638218536191,-0.565861759199554,0.5918379800021898,0.6586524801580623,0.7559082361199032,-0.46469490357270377,0.7135183709611967,0.1466912024801468,1.0,0.19902531551603406,-0.12828971602577577,-0.492173199152154,0.21856752191990744,0.22940973619844887,-0.10455434013940826,-0.2121798870546836,-0.45533844793660755,-0.4386379339877595,0.4098512438109342,0.5506736489009264
