,LoadConsumption,DailyPrecipitation,MaxHourlyPrecipitation,HDMaxPrecipitation,DailyMeanTemperature,HourlyMinTemperature,HDMinTemperature,HourlyMaxTemperature,"Liquefied natural gas, Japan | ($/mmbtu)",Year,euro per m3.1,Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,euro per kWh.1,nat,euro per kWh,Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Totaal,WeekKey,Month,Beroepsbevolking|Seizoengecorrigeerd,Werkzame beroepsbevolking|Seizoengecorrigeerd,Werkloze beroepsbevolking|Seizoengecorrigeerd,Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,Aantal verkochte woningen|Aantal verkochte woningen,Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,Gemiddelde verkoopprijs,Totale waarde verkoopprijzen,CPI | 2015 = 100,CPI afgeleid | 2015 = 100,Jaarmutatie CPI | %,Jaarmutatie CPI afgeleid | %,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Totaal,Opbouw bbp vanuit de finale bestedingen|Beschikbaar voor finale bestedingen|Bruto binnenlands product
euro per m3.1,-0.267667406664197,-0.17469407219670793,-0.180025802363461,-0.14315282679704167,-0.1385427303177655,-0.23065070172678717,-0.06855235927914236,-0.07385821543219427,0.8330548891726512,0.967530799742464,1.0,-0.8190589239547855,0.9953385833471042,-0.8972077249588353,0.992604638718534,-0.9848152546258077,0.9133235242446557,-0.8728241739954212,0.5834158523375895,0.7412007198025738,-0.8536040439533846,0.8059073527756626,0.30103059646303987,0.8163989895667487,-0.17796408519993978,-0.18724952610605927,0.776147930506835,0.13084323835310457,0.5298192719142033,0.3939161225487885,0.035467297000688985,-0.4440420998691185,-0.5842847965939214,-0.24030000480454383
Aantal verkochte woningen|Ontwikkeling  t.o.v. een jaar eerder,0.26231216094440984,0.15138493668959643,0.15714338596146735,0.14735038022969535,0.04335523725694289,0.12494161386891138,0.047215859594603754,-0.0153886745740087,-0.7563663881212552,-0.7786655777896956,-0.8190589239547855,1.0,-0.8205062509964568,0.7501602479651762,-0.8196291346459652,0.7781446079455121,-0.7296006770768203,0.7190559260008792,-0.53019645122496,-0.5920677550673307,0.6107576791467557,-0.6260728557890615,-0.1808641811347036,-0.5279734209845279,0.14555489106028294,0.024942041483571816,-0.6531044193465408,-0.0762220050246771,-0.3888422919331471,-0.2673353797919182,-0.14142691002373797,0.24441450157596414,0.3649427387130026,0.07029649109074408
euro per kWh.1,-0.26134778992355884,-0.16116861407374525,-0.16666393542457883,-0.12608239233170512,-0.18277687955684174,-0.264842747923597,-0.06401323923557597,-0.11987755117239693,0.7878855190079019,0.9386446577483781,0.9953385833471042,-0.8205062509964568,1.0,-0.8771870654453977,0.9996850159714201,-0.9700104539183635,0.8737115582733033,-0.8804629593963744,0.5180346981970972,0.6863723195461382,-0.8184503982728962,0.7524298726977298,0.2846565670680959,0.7840462479613646,-0.17233078969560958,-0.19600976533610584,0.7216827797750804,0.13376699786514656,0.4542146478875542,0.3129543522506279,-0.035336107147060404,-0.49615390294742556,-0.5120207844455159,-0.1517803453786363
nat,0.26067539806186496,0.20619394557700596,0.20110042796300714,0.18810827501833996,-0.0765831788180858,0.031370307131887896,0.07406021354755805,-0.1391866113736406,-0.8783010516377706,-0.9095849502514607,-0.8972077249588353,0.7501602479651762,-0.8771870654453977,1.0,-0.8706367195625708,0.8730735114291394,-0.9226062762570294,0.6509199642661835,-0.7281521485169969,-0.8479716322642589,0.9003838482770447,-0.8460627555329235,-0.10514884413839581,-0.7882377987923667,0.3394700451653814,0.014713522702308007,-0.8100131058761465,0.09416030361218518,-0.671567287928201,-0.5657890478949056,-0.19238096335487367,0.2980150643188196,0.7235532513487054,0.3054852500113033
euro per kWh,-0.25930388825366646,-0.15740261076110298,-0.16293210649650686,-0.12144749154154479,-0.1940086560822445,-0.2733358665748852,-0.06273420895678408,-0.1316699990417254,0.7749271725933865,0.929693336245507,0.992604638718534,-0.8196291346459652,0.9996850159714201,-0.8706367195625708,1.0,-0.9646755958210363,0.8620682722198083,-0.8811054324920289,0.5002289729121302,0.6710555159678545,-0.8080517425551874,0.7373636817933863,0.2799605865366103,0.7744290426744231,-0.17060150984668004,-0.19798993673519497,0.7064065494251023,0.1343234491603722,0.43384598502154786,0.29140744716430156,-0.05370730116009304,-0.5089568352554776,-0.49243312062476347,-0.12851292684218243
Opbouw bbp vanuit de finale bestedingen|Finale bestedingen|Uitvoer van goederen en diensten|Totaal,0.25778341308468916,0.17295847507075346,0.18575472334818205,0.14892176674682805,0.17947911098404812,0.27204452680017843,0.0648788213125815,0.11493469005150996,-0.8321866223481637,-0.9796080963373367,-0.9848152546258077,0.7781446079455121,-0.9700104539183635,0.8730735114291394,-0.9646755958210363,1.0,-0.9287341463425016,0.8722837739513359,-0.5982696413874484,-0.7582664408494623,0.8702726342683281,-0.8392508280227005,-0.35149469253860754,-0.8609679879156308,0.11936780444911695,0.15805449798112248,-0.7965455781286578,-0.18498079852077282,-0.5560204757233048,-0.4249886980303516,-0.07631739566393711,0.40335125169565134,0.6300915980097428,0.37949579024317037
WeekKey,-0.2572935876034343,-0.2156873620869639,-0.2211969962029301,-0.206816702982969,0.06495205701862472,-0.0567508449737007,-0.07388124973412394,0.12816911314240176,0.942880193882993,0.9763249584900308,0.9133235242446557,-0.7296006770768203,0.8737115582733033,-0.9226062762570294,0.8620682722198083,-0.9287341463425016,1.0,-0.6703168326945351,0.8394239035214468,0.9412679088568436,-0.9609815152465134,0.9679551894287483,0.24156887763911217,0.8760974844673631,-0.2183232607274377,-0.05387433757018012,0.9277461932170605,0.04519530424041231,0.7911209837522261,0.6899073914011521,0.3284135935255279,-0.19838150777976002,-0.854810417969399,-0.5375822679606181
Month,0.2496747031164294,0.11718375033296051,0.1191879947012251,0.06745080232855206,0.22617949107664057,0.29197971429934666,0.06134428025658236,0.16794715337237162,-0.6066028636371882,-0.8138018862533508,-0.8728241739954212,0.7190559260008792,-0.8804629593963744,0.6509199642661835,-0.8811054324920289,0.8722837739513359,-0.6703168326945351,1.0,-0.2438241064525611,-0.3944702158319554,0.535316769169708,-0.5237245192388625,-0.48817043745069544,-0.6165151316900958,0.04757919644902816,0.3950463420131793,-0.5429867826041218,-0.2837726217130737,-0.2915638536429396,-0.1649953846790866,0.13101419057826436,0.4573910286362392,0.26925974047627216,0.1373154171726131
Beroepsbevolking|Seizoengecorrigeerd,-0.19193678276007492,-0.21338665043801938,-0.2069327970054615,-0.23169972905828934,0.42678657756769034,0.3003522608652902,-0.07030538205763633,0.4680286760152266,0.8762688726472107,0.7286946225932645,0.5834158523375895,-0.53019645122496,0.5180346981970972,-0.7281521485169969,0.5002289729121302,-0.5982696413874484,0.8394239035214468,-0.2438241064525611,1.0,0.9588893865311591,-0.8027641649097531,0.9143804306512013,0.11621861877591586,0.6471728221370563,-0.2436607977721359,0.07238779639343548,0.9241339600477149,-0.09013139506437677,0.9238673183695769,0.8878604807586424,0.6697572543171878,0.22254329962882627,-0.9243614976778793,-0.6304572940288418
Werkzame beroepsbevolking|Seizoengecorrigeerd,-0.21390023680252349,-0.22060250602039277,-0.22208359577823042,-0.22847560463171762,0.23783382332516784,0.11066397840974572,-0.07152762700435952,0.2910276100005244,0.9182460134476911,0.8517723949169197,0.7412007198025738,-0.5920677550673307,0.6863723195461382,-0.8479716322642589,0.6710555159678545,-0.7582664408494623,0.9412679088568436,-0.3944702158319554,0.9588893865311591,1.0,-0.9388693018501877,0.9724532441808743,0.10184571839281019,0.7886197468417449,-0.26759370324145015,0.07671013670571751,0.9386319465193487,-0.07641654783902375,0.8817465366167968,0.8161520984634669,0.5049144824828751,0.0027194144663866696,-0.9437909912039527,-0.6108846967522468
Werkloze beroepsbevolking|Seizoengecorrigeerd,0.21800204002696544,0.20481438705054064,0.2160832807164692,0.19876173761883428,0.023304923710209424,0.13686419978463263,0.06408666006078668,-0.03874355815409067,-0.8686909393573794,-0.9075898430178314,-0.8536040439533846,0.6107576791467557,-0.8184503982728962,0.9003838482770447,-0.8080517425551874,0.8702726342683281,-0.9609815152465134,0.535316769169708,-0.8027641649097531,-0.9388693018501877,1.0,-0.9346914743962577,-0.07216140357578599,-0.874963294789288,0.2708934997151728,-0.07209626770533066,-0.850956693298345,0.05422803154055825,-0.727273784568061,-0.6317626192703933,-0.2470307665807263,0.26643417742921166,0.8584475891035183,0.5118716414899962
Prijsindex verkoopprijzen|Prijsindex bestaande koopwoningen,-0.2092826143521314,-0.2052240562861465,-0.21550135274890386,-0.21374086292041894,0.14678261736642992,0.030215069627975873,-0.0589625869155999,0.1965886682224175,0.9052124977030447,0.910047111609237,0.8059073527756626,-0.6260728557890615,0.7524298726977298,-0.8460627555329235,0.7373636817933863,-0.8392508280227005,0.9679551894287483,-0.5237245192388625,0.9143804306512013,0.9724532441808743,-0.9346914743962577,1.0,0.3035325042440801,0.8581178167587127,-0.1110795007879996,-0.03000005793800524,0.9558278171940986,0.1208700062620815,0.8622893791204839,0.7827723030836069,0.5095454593714657,-0.0026917730534099242,-0.9261860166880855,-0.6537453592855385
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. voorgaande periode,-0.024267026371929873,-0.013862967789442637,-0.03170601742962514,0.002383599455905508,0.0020864336257069727,0.007737033746762527,0.0283434391601988,-0.014390612808437278,0.14549259045587334,0.330491433884471,0.30103059646303987,-0.1808641811347036,0.2846565670680959,-0.10514884413839581,0.2799605865366103,-0.35149469253860754,0.24156887763911217,-0.48817043745069544,0.11621861877591586,0.10184571839281019,-0.07216140357578599,0.3035325042440801,1.0,0.38481594084119947,0.5434616345491327,-0.5046137955222174,0.3072999158327274,0.754529238713216,0.2487810264507618,0.21230953447200301,0.39970015516285046,0.305715027909189,-0.16606942379269488,-0.2924951395734952
Prijsindex verkoopprijzen|Ontwikkeling  t.o.v. een jaar eerder,-0.19926442008057116,-0.19739513735831618,-0.2142649832514437,-0.1854933536419372,-0.15446039415874485,-0.2397057739117194,-0.04865480932471236,-0.10184274022662385,0.7561112423361834,0.8647067909377157,0.8163989895667487,-0.5279734209845279,0.7840462479613646,-0.7882377987923667,0.7744290426744231,-0.8609679879156308,0.8760974844673631,-0.6165151316900958,0.6471728221370563,0.7886197468417449,-0.874963294789288,0.8581178167587127,0.38481594084119947,1.0,-0.17034661090462822,-0.08171329543871643,0.7302188731163588,0.07767176791849847,0.6177859604406913,0.5209279493274687,0.2325352869755471,-0.22315037972095547,-0.7623307944062244,-0.5489154019396832
Aantal verkochte woningen|Aantal verkochte woningen,0.17686208937718292,0.20633583168636244,0.1543659412746256,0.15735958471684627,-0.2504447851552028,-0.15942352764092552,0.09126989096614521,-0.3101287143526976,-0.3526314500693869,-0.1847752185779242,-0.17796408519993978,0.14555489106028294,-0.17233078969560958,0.3394700451653814,-0.17060150984668004,0.11936780444911695,-0.2183232607274377,0.04757919644902816,-0.2436607977721359,-0.26759370324145015,0.2708934997151728,-0.1110795007879996,0.5434616345491327,-0.17034661090462822,1.0,-0.012798507243430004,-0.15433751557706893,0.9207560401437587,-0.2264136160972487,-0.226332917021505,0.11913992824633425,0.21501933943828672,0.21969044082285585,-0.06158548663073924
Aantal verkochte woningen|Ontwikkeling  t.o.v. voorgaande periode,0.008706927499958578,0.01854244387532932,-0.01192458559546626,-0.05193196606336256,-0.09763843259837922,-0.1127407204882807,-0.02272250771638856,-0.08247421826860622,0.03470195948388805,-0.15592355460815,-0.18724952610605927,0.024942041483571816,-0.19600976533610584,0.014713522702308007,-0.19798993673519497,0.15805449798112248,-0.05387433757018012,0.3950463420131793,0.07238779639343548,0.07671013670571751,-0.07209626770533066,-0.03000005793800524,-0.5046137955222174,-0.08171329543871643,-0.012798507243430004,1.0,-0.10611151046537638,-0.2946373905250817,-0.05892295058195257,-0.02999537590940613,-0.07357144073340717,-0.06557139330074417,-0.01003011867645837,-0.09819938063288584
